VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
31, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
32, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
33, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
34, 10,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.26237,  0.79927
35, 12,  0.24169, -0.11206, -0.08249, -0.09427, -0.96292, -0.25279,  0.50196,  0.50196,  1.00,  0.00,  0.27169,  0.7411
36, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
37, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
38, 7,  0.35126, -0.10121, -0.13897,  0.10533, -0.89605, -0.43092,  0.50196,  0.50196,  1.00,  0.00,  0.21199,  0.84409
39, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
40, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
41, 5,  0.39943, -0.07722, -0.13849,  0.32142, -0.33559, -0.88548,  0.50196,  0.50196,  1.00,  0.00,  0.19328,  0.89308
42, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
43, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
44, 7,  0.35126, -0.10121, -0.13897,  0.10533, -0.89605, -0.43092,  0.50196,  0.50196,  1.00,  0.00,  0.21199,  0.84409
45, 12,  0.24169, -0.11206, -0.08249, -0.09427, -0.96292, -0.25279,  0.50196,  0.50196,  1.00,  0.00,  0.27169,  0.7411
46, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
47, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
48, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
49, 12,  0.24169, -0.11206, -0.08249, -0.09427, -0.96292, -0.25279,  0.50196,  0.50196,  1.00,  0.00,  0.27169,  0.7411
50, 15,  0.19125, -0.10916, -0.07552, -0.12671, -0.94454, -0.30231,  0.50196,  0.50196,  1.00,  0.00,  0.27814,  0.69206
51, 16,  0.19107, -0.07302, -0.1294, -0.24121, -0.49083, -0.83696,  0.50196,  0.50196,  1.00,  0.00,  0.21097,  0.68629
52, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
53, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
54, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
55, 16,  0.19107, -0.07302, -0.1294, -0.24121, -0.49083, -0.83696,  0.50196,  0.50196,  1.00,  0.00,  0.21097,  0.68629
56, 17,  0.24134, -0.0722, -0.14354, -0.21304, -0.47849, -0.85186,  0.50196,  0.50196,  1.00,  0.00,  0.19464,  0.73462
57, 17,  0.24134, -0.0722, -0.14354, -0.21304, -0.47849, -0.85186,  0.50196,  0.50196,  1.00,  0.00,  0.19464,  0.73462
58, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
59, 11,  0.24147, -0.10071, -0.12757, -0.16011, -0.83287, -0.52981,  0.50196,  0.50196,  1.00,  0.00,  0.22626,  0.73976
60, 15,  0.19125, -0.10916, -0.07552, -0.12671, -0.94454, -0.30231,  0.50196,  0.50196,  1.00,  0.00,  0.27814,  0.69206
61, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
62, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
63, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
64, 15,  0.19125, -0.10916, -0.07552, -0.12671, -0.94454, -0.30231,  0.50196,  0.50196,  1.00,  0.00,  0.27814,  0.69206
65, 19,  0.1442, -0.10453, -0.06992, -0.17033, -0.92414, -0.34199,  0.50196,  0.50196,  1.00,  0.00,  0.28286,  0.64632
66, 20,  0.09688, -0.09645, -0.06375, -0.20252, -0.90272, -0.37958,  0.50196,  0.50196,  1.00,  0.00,  0.28683,  0.59929
67, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
68, 19,  0.1442, -0.10453, -0.06992, -0.17033, -0.92414, -0.34199,  0.50196,  0.50196,  1.00,  0.00,  0.28286,  0.64632
69, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
70, 20,  0.09688, -0.09645, -0.06375, -0.20252, -0.90272, -0.37958,  0.50196,  0.50196,  1.00,  0.00,  0.28683,  0.59929
71, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
72, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
73, 22,  0.14407, -0.07117, -0.11654, -0.27319, -0.5308, -0.80226,  0.50196,  0.50196,  1.00,  0.00,  0.22458,  0.64089
74, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
75, 22,  0.14407, -0.07117, -0.11654, -0.27319, -0.5308, -0.80226,  0.50196,  0.50196,  1.00,  0.00,  0.22458,  0.64089
76, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
77, 18,  0.14446, -0.09263, -0.10221, -0.23017, -0.80076, -0.553,  0.50196,  0.50196,  1.00,  0.00,  0.24929,  0.64571
78, 14,  0.19139, -0.09681, -0.11537, -0.1914, -0.8257, -0.53023,  0.50196,  0.50196,  1.00,  0.00,  0.23744,  0.69137
79, 22,  0.14407, -0.07117, -0.11654, -0.27319, -0.5308, -0.80226,  0.50196,  0.50196,  1.00,  0.00,  0.22458,  0.64089
80, 16,  0.19107, -0.07302, -0.1294, -0.24121, -0.49083, -0.83696,  0.50196,  0.50196,  1.00,  0.00,  0.21097,  0.68629
81, 22,  0.14407, -0.07117, -0.11654, -0.27319, -0.5308, -0.80226,  0.50196,  0.50196,  1.00,  0.00,  0.22458,  0.64089
82, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
83, 23,  0.09669, -0.06543, -0.10387, -0.24852, -0.54998, -0.79734,  0.50196,  0.50196,  1.00,  0.00,  0.23564,  0.59396
84, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
85, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
86, 24,  0.30021, -0.0865, -0.15198, -0.13162, -0.47649, -0.86927,  0.50196,  0.50196,  1.00,  0.00,  0.19391,  0.7944
87, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
88, 17,  0.24134, -0.0722, -0.14354, -0.21304, -0.47849, -0.85186,  0.50196,  0.50196,  1.00,  0.00,  0.19464,  0.73462
89, 24,  0.30021, -0.0865, -0.15198, -0.13162, -0.47649, -0.86927,  0.50196,  0.50196,  1.00,  0.00,  0.19391,  0.7944
90, 17,  0.24134, -0.0722, -0.14354, -0.21304, -0.47849, -0.85186,  0.50196,  0.50196,  1.00,  0.00,  0.19464,  0.73462
91, 25,  0.30016, -0.07076, -0.15571, -0.11482, -0.25936, -0.95893,  0.50196,  0.50196,  1.00,  0.00,  0.17857,  0.79221
92, 24,  0.30021, -0.0865, -0.15198, -0.13162, -0.47649, -0.86927,  0.50196,  0.50196,  1.00,  0.00,  0.19391,  0.7944
93, 25,  0.30016, -0.07076, -0.15571, -0.11482, -0.25936, -0.95893,  0.50196,  0.50196,  1.00,  0.00,  0.17857,  0.79221
94, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
95, 24,  0.30021, -0.0865, -0.15198, -0.13162, -0.47649, -0.86927,  0.50196,  0.50196,  1.00,  0.00,  0.19391,  0.7944
96, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
97, 25,  0.30016, -0.07076, -0.15571, -0.11482, -0.25936, -0.95893,  0.50196,  0.50196,  1.00,  0.00,  0.17857,  0.79221
98, 26,  0.34914, -0.06458, -0.16265, -0.01671, -0.42969, -0.90255,  0.50196,  0.50196,  1.00,  0.00,  0.16707,  0.83953
99, 27,  0.38378, -0.06006, -0.16258,  0.12229, -0.45254, -0.88332,  0.50196,  0.50196,  1.00,  0.00,  0.16012,  0.87226
100, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
101, 26,  0.34914, -0.06458, -0.16265, -0.01671, -0.42969, -0.90255,  0.50196,  0.50196,  1.00,  0.00,  0.16707,  0.83953
102, 13,  0.3495, -0.08342, -0.15369,  0.0546, -0.52611, -0.84837,  0.50196,  0.50196,  1.00,  0.00,  0.18737,  0.84177
103, 27,  0.38378, -0.06006, -0.16258,  0.12229, -0.45254, -0.88332,  0.50196,  0.50196,  1.00,  0.00,  0.16012,  0.87226
104, 28,  0.38434, -0.07126, -0.15662,  0.12256, -0.46139, -0.87869,  0.50196,  0.50196,  1.00,  0.00,  0.17238,  0.87398
105, 28,  0.38434, -0.07126, -0.15662,  0.12256, -0.46139, -0.87869,  0.50196,  0.50196,  1.00,  0.00,  0.17238,  0.87398
106, 27,  0.38378, -0.06006, -0.16258,  0.12229, -0.45254, -0.88332,  0.50196,  0.50196,  1.00,  0.00,  0.16012,  0.87226
107, 29,  0.42061, -0.05387, -0.15858,  0.17156, -0.45604, -0.87326,  0.50196,  0.50196,  1.00,  0.0437,  0.15314,  0.90825
108, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
109, 30,  0.04773, -0.05937, -0.09468, -0.17124, -0.50307, -0.84711,  0.50196,  0.50196,  1.00,  0.00,  0.24362,  0.54592
110, 23,  0.09669, -0.06543, -0.10387, -0.24852, -0.54998, -0.79734,  0.50196,  0.50196,  1.00,  0.00,  0.23564,  0.59396
111, 30,  0.04773, -0.05937, -0.09468, -0.17124, -0.50307, -0.84711,  0.50196,  0.50196,  1.00,  0.00,  0.24362,  0.54592
112, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
113, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
114, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
115, 32,  0.00051, -0.05431, -0.08946, -0.15546, -0.52254, -0.83832,  0.50196,  0.50196,  1.00,  0.00,  0.24889,  0.49976
116, 30,  0.04773, -0.05937, -0.09468, -0.17124, -0.50307, -0.84711,  0.50196,  0.50196,  1.00,  0.00,  0.24362,  0.54592
117, 32,  0.00051, -0.05431, -0.08946, -0.15546, -0.52254, -0.83832,  0.50196,  0.50196,  1.00,  0.00,  0.24889,  0.49976
118, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
119, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
120, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
121, 34, -0.03406, -0.05059, -0.08567, -0.1567, -0.55091, -0.81972,  0.50196,  0.50196,  1.00,  0.00,  0.25275,  0.46583
122, 32,  0.00051, -0.05431, -0.08946, -0.15546, -0.52254, -0.83832,  0.50196,  0.50196,  1.00,  0.00,  0.24889,  0.49976
123, 34, -0.03406, -0.05059, -0.08567, -0.1567, -0.55091, -0.81972,  0.50196,  0.50196,  1.00,  0.00,  0.25275,  0.46583
124, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
125, 35, -0.03343, -0.06546, -0.07565, -0.17433, -0.76451, -0.62059,  0.50196,  0.50196,  1.00,  0.00,  0.26999,  0.46889
126, 35, -0.03343, -0.06546, -0.07565, -0.17433, -0.76451, -0.62059,  0.50196,  0.50196,  1.00,  0.00,  0.26999,  0.46889
127, 36, -0.05621, -0.04822, -0.08373, -0.16277, -0.58576, -0.79363,  0.50196,  0.50196,  1.00,  0.00,  0.25522,  0.44416
128, 34, -0.03406, -0.05059, -0.08567, -0.1567, -0.55091, -0.81972,  0.50196,  0.50196,  1.00,  0.00,  0.25275,  0.46583
129, 36, -0.05621, -0.04822, -0.08373, -0.16277, -0.58576, -0.79363,  0.50196,  0.50196,  1.00,  0.00,  0.25522,  0.44416
130, 35, -0.03343, -0.06546, -0.07565, -0.17433, -0.76451, -0.62059,  0.50196,  0.50196,  1.00,  0.00,  0.26999,  0.46889
131, 37, -0.05544, -0.06212, -0.0734, -0.17248, -0.78138, -0.59929,  0.50196,  0.50196,  1.00,  0.00,  0.27188,  0.44707
132, 38, -0.03317, -0.07652, -0.05403, -0.16796, -0.87924, -0.44579,  0.50196,  0.50196,  1.00,  0.00,  0.29364,  0.47041
133, 37, -0.05544, -0.06212, -0.0734, -0.17248, -0.78138, -0.59929,  0.50196,  0.50196,  1.00,  0.00,  0.27188,  0.44707
134, 35, -0.03343, -0.06546, -0.07565, -0.17433, -0.76451, -0.62059,  0.50196,  0.50196,  1.00,  0.00,  0.26999,  0.46889
135, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
136, 38, -0.03317, -0.07652, -0.05403, -0.16796, -0.87924, -0.44579,  0.50196,  0.50196,  1.00,  0.00,  0.29364,  0.47041
137, 35, -0.03343, -0.06546, -0.07565, -0.17433, -0.76451, -0.62059,  0.50196,  0.50196,  1.00,  0.00,  0.26999,  0.46889
138, 37, -0.05544, -0.06212, -0.0734, -0.17248, -0.78138, -0.59929,  0.50196,  0.50196,  1.00,  0.00,  0.27188,  0.44707
139, 38, -0.03317, -0.07652, -0.05403, -0.16796, -0.87924, -0.44579,  0.50196,  0.50196,  1.00,  0.00,  0.29364,  0.47041
140, 39, -0.05498, -0.07259, -0.05236, -0.15954, -0.88491, -0.43697,  0.50196,  0.50196,  1.00,  0.00,  0.29478,  0.44856
141, 38, -0.03317, -0.07652, -0.05403, -0.16796, -0.87924, -0.44579,  0.50196,  0.50196,  1.00,  0.00,  0.29364,  0.47041
142, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
143, 40,  0.00147, -0.08161, -0.05656, -0.16602, -0.8872, -0.43049,  0.50196,  0.50196,  1.00,  0.00,  0.29187,  0.50462
144, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
145, 40,  0.00147, -0.08161, -0.05656, -0.16602, -0.8872, -0.43049,  0.50196,  0.50196,  1.00,  0.00,  0.29187,  0.50462
146, 33,  0.00116, -0.07034, -0.07945, -0.17225, -0.76001, -0.62667,  0.50196,  0.50196,  1.00,  0.00,  0.26703,  0.50307
147, 40,  0.00147, -0.08161, -0.05656, -0.16602, -0.8872, -0.43049,  0.50196,  0.50196,  1.00,  0.00,  0.29187,  0.50462
148, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
149, 41,  0.04831, -0.0884, -0.06007, -0.17615, -0.89423, -0.41142,  0.50196,  0.50196,  1.00,  0.00,  0.28941,  0.55107
150, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
151, 41,  0.04831, -0.0884, -0.06007, -0.17615, -0.89423, -0.41142,  0.50196,  0.50196,  1.00,  0.00,  0.28941,  0.55107
152, 31,  0.04831, -0.07697, -0.08464, -0.18335, -0.75539, -0.62908,  0.50196,  0.50196,  1.00,  0.00,  0.26301,  0.54974
153, 41,  0.04831, -0.0884, -0.06007, -0.17615, -0.89423, -0.41142,  0.50196,  0.50196,  1.00,  0.00,  0.28941,  0.55107
154, 21,  0.09702, -0.08482, -0.0906, -0.23796, -0.76886, -0.59349,  0.50196,  0.50196,  1.00,  0.00,  0.25824,  0.5982
155, 20,  0.09688, -0.09645, -0.06375, -0.20252, -0.90272, -0.37958,  0.50196,  0.50196,  1.00,  0.00,  0.28683,  0.59929
156, 42,  0.24169, -0.11206, -0.08249, -0.09427, -0.96292, -0.25279,  0.50196,  0.50196,  1.00,  0.00,  0.37041,  0.79016
157, 43,  0.30042, -0.05906, -0.1065,  0.13119,  0.26061,  0.95649,  0.50196,  0.50196,  1.00,  0.00,  0.32575,  0.84175
158, 44,  0.24152, -0.05656, -0.09586,  0.18056,  0.21915,  0.95884,  0.50196,  0.50196,  1.00,  0.00,  0.32441,  0.79198
159, 43,  0.30042, -0.05906, -0.1065,  0.13119,  0.26061,  0.95649,  0.50196,  0.50196,  1.00,  0.00,  0.32575,  0.84175
160, 42,  0.24169, -0.11206, -0.08249, -0.09427, -0.96292, -0.25279,  0.50196,  0.50196,  1.00,  0.00,  0.37041,  0.79016
161, 45,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.37294,  0.83644
162, 45,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.37294,  0.83644
163, 46,  0.35189, -0.06201, -0.11045,  0.09218,  0.27941,  0.95549,  0.50196,  0.50196,  1.00,  0.00,  0.33583,  0.88219
164, 43,  0.30042, -0.05906, -0.1065,  0.13119,  0.26061,  0.95649,  0.50196,  0.50196,  1.00,  0.00,  0.32575,  0.84175
165, 46,  0.35189, -0.06201, -0.11045,  0.09218,  0.27941,  0.95549,  0.50196,  0.50196,  1.00,  0.00,  0.33583,  0.88219
166, 45,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.37294,  0.83644
167, 47,  0.35238, -0.1084, -0.09649,  0.08761, -0.98053, -0.17526,  0.50196,  0.50196,  1.00,  0.00,  0.37417,  0.87598
168, 48,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.37579,  0.91418
169, 46,  0.35189, -0.06201, -0.11045,  0.09218,  0.27941,  0.95549,  0.50196,  0.50196,  1.00,  0.00,  0.33583,  0.88219
170, 47,  0.35238, -0.1084, -0.09649,  0.08761, -0.98053, -0.17526,  0.50196,  0.50196,  1.00,  0.00,  0.37417,  0.87598
171, 46,  0.35189, -0.06201, -0.11045,  0.09218,  0.27941,  0.95549,  0.50196,  0.50196,  1.00,  0.00,  0.33583,  0.88219
172, 48,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.37579,  0.91418
173, 49,  0.40042, -0.06706, -0.11309,  0.01035,  0.26732,  0.96355,  0.50196,  0.50196,  1.00,  0.00,  0.34676,  0.92034
174, 48,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.37579,  0.91418
175, 50,  0.43825, -0.0673, -0.10958, -0.10437,  0.20387,  0.97342,  0.50196,  0.50196,  1.00,  0.00,  0.35571,  0.95088
176, 49,  0.40042, -0.06706, -0.11309,  0.01035,  0.26732,  0.96355,  0.50196,  0.50196,  1.00,  0.00,  0.34676,  0.92034
177, 50,  0.43825, -0.0673, -0.10958, -0.10437,  0.20387,  0.97342,  0.50196,  0.50196,  1.00,  0.00,  0.35571,  0.95088
178, 48,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.37579,  0.91418
179, 51,  0.43782, -0.0914, -0.10515,  0.3777, -0.87161, -0.31248,  0.50196,  0.50196,  1.00,  0.00,  0.37463,  0.94492
180, 52,  0.49412, -0.06144, -0.10247,  0.47188, -0.68119, -0.55974,  0.50196,  0.50196,  1.00,  0.00,  0.36656,  0.99593
181, 50,  0.43825, -0.0673, -0.10958, -0.10437,  0.20387,  0.97342,  0.50196,  0.50196,  1.00,  0.00,  0.35571,  0.95088
182, 51,  0.43782, -0.0914, -0.10515,  0.3777, -0.87161, -0.31248,  0.50196,  0.50196,  1.00,  0.00,  0.37463,  0.94492
