VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
33,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
34,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
35,10,-0.29945,0.00861,0.07714,-0.14353,0.12964,0.98112,0.22381,-0.96144,0.15978,-1,1,0.50196,1,0,0.0692,0.4914,0.48684,0.51159,0.99969
36,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
37,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
38,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
39,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
40,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
41,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
42,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
43,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
44,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
45,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
46,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
47,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
48,17,-0.31074,-0.07407,0.07746,0.29984,-0.94649,0.09187,-0.10823,-0.11482,-0.97075,-1,1,0.50196,1,1,0.17483,0.53492,0.43163,0.5115,0.99517
49,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
50,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
51,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
52,17,-0.31074,-0.07407,0.07746,0.29984,-0.94649,0.09187,-0.10823,-0.11482,-0.97075,-1,1,0.50196,1,1,0.17483,0.53492,0.43163,0.5115,0.99517
53,18,-0.31471,-0.07783,0.06356,0.19226,-0.96001,0.20322,-0.00576,-0.2084,-0.97746,-1,1,0.50196,1,1,0.19616,0.54384,0.50911,0.48739,0.99976
54,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
55,19,-0.30914,-0.07378,0.08452,0.31875,-0.94044,0.06152,-0.19359,-0.10362,-0.94895,-1,1,0.50196,1,1,0.16455,0.53059,0.40584,0.50524,0.99103
56,17,-0.31074,-0.07407,0.07746,0.29984,-0.94649,0.09187,-0.10823,-0.11482,-0.97075,-1,1,0.50196,1,1,0.17483,0.53492,0.43163,0.5115,0.99517
57,19,-0.30914,-0.07378,0.08452,0.31875,-0.94044,0.06152,-0.19359,-0.10362,-0.94895,-1,1,0.50196,1,1,0.16455,0.53059,0.40584,0.50524,0.99103
58,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
59,20,-0.28875,-0.0563,0.07768,0.48877,-0.09414,0.84911,0.24114,-0.93534,-0.21277,-1,1,0.50196,1,1,0.16576,0.48957,0.60207,0.34334,0.96372
60,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
61,21,-0.28994,-0.02815,0.07467,0.23121,0.07688,0.94669,0.13251,-0.98251,0.06958,-1,1,0.50196,1,0,0.12295,0.48442,0.46238,0.22122,0.91336
62,20,-0.28875,-0.0563,0.07768,0.48877,-0.09414,0.84911,0.24114,-0.93534,-0.21277,-1,1,0.50196,1,1,0.16576,0.48957,0.60207,0.34334,0.96372
63,21,-0.28994,-0.02815,0.07467,0.23121,0.07688,0.94669,0.13251,-0.98251,0.06958,-1,1,0.50196,1,0,0.12295,0.48442,0.46238,0.22122,0.91336
64,16,-0.28252,-0.05639,0.07616,0.37062,-0.21455,0.89129,0.26497,-0.90336,-0.30312,-1,1,0.50196,1,1,0.1687,0.48154,0.52945,0.48477,0.9989
65,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
66,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
67,21,-0.28994,-0.02815,0.07467,0.23121,0.07688,0.94669,0.13251,-0.98251,0.06958,-1,1,0.50196,1,0,0.12295,0.48442,0.46238,0.22122,0.91336
68,13,-0.28054,-0.02247,0.07731,0.11397,0.01659,0.98392,0.18505,-0.97984,0.00451,-1,1,0.50196,1,0,0.11959,0.47001,0.50058,0.48912,0.99988
69,21,-0.28994,-0.02815,0.07467,0.23121,0.07688,0.94669,0.13251,-0.98251,0.06958,-1,1,0.50196,1,0,0.12295,0.48442,0.46238,0.22122,0.91336
70,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
71,22,-0.30012,-0.00809,0.0766,0.44095,0.66894,0.54758,0.27648,-0.71595,0.63784,-1,1,0.50196,1,0,0.09176,0.49958,0.40898,0.39804,0.98096
72,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
73,22,-0.30012,-0.00809,0.0766,0.44095,0.66894,0.54758,0.27648,-0.71595,0.63784,-1,1,0.50196,1,0,0.09176,0.49958,0.40898,0.39804,0.98096
74,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
75,22,-0.30012,-0.00809,0.0766,0.44095,0.66894,0.54758,0.27648,-0.71595,0.63784,-1,1,0.50196,1,0,0.09176,0.49958,0.40898,0.39804,0.98096
76,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
77,23,-0.31414,-0.00236,0.08121,0.17641,0.92218,0.27744,0.26536,-0.34489,0.88693,-1,1,0.50196,1,1,0.09098,0.5263,0.50055,0.52109,0.99955
78,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
79,24,-0.33121,-0.00669,0.08895,-0.17151,0.87966,0.39855,0.24708,-0.38069,0.8796,-1,1,0.50196,1,1,0.10215,0.55953,0.51355,0.49746,0.99981
80,23,-0.31414,-0.00236,0.08121,0.17641,0.92218,0.27744,0.26536,-0.34489,0.88693,-1,1,0.50196,1,1,0.09098,0.5263,0.50055,0.52109,0.99955
81,25,-0.27569,0.02155,0.08189,-0.09134,-0.21914,0.97141,0.24995,-0.94926,-0.19063,-1,1,0.50196,1,0,0.05812,0.44789,0.50205,0.49986,1
82,10,-0.29945,0.00861,0.07714,-0.14353,0.12964,0.98112,0.22381,-0.96144,0.15978,-1,1,0.50196,1,0,0.0692,0.4914,0.48684,0.51159,0.99969
83,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
84,10,-0.29945,0.00861,0.07714,-0.14353,0.12964,0.98112,0.22381,-0.96144,0.15978,-1,1,0.50196,1,0,0.0692,0.4914,0.48684,0.51159,0.99969
85,25,-0.27569,0.02155,0.08189,-0.09134,-0.21914,0.97141,0.24995,-0.94926,-0.19063,-1,1,0.50196,1,0,0.05812,0.44789,0.50205,0.49986,1
86,26,-0.29373,0.02542,0.07908,-0.36651,-0.05158,0.92898,0.22884,-0.97274,0.03631,-1,1,0.50196,1,1,0.04616,0.47532,0.50654,0.49664,0.99995
87,25,-0.27569,0.02155,0.08189,-0.09134,-0.21914,0.97141,0.24995,-0.94926,-0.19063,-1,1,0.50196,1,0,0.05812,0.44789,0.50205,0.49986,1
88,27,-0.28578,0.04081,0.08474,-0.29564,-0.20345,0.93338,0.24611,-0.96025,-0.13134,-1,1,0.50196,1,1,0.02519,0.45564,0.49707,0.50413,0.99997
89,26,-0.29373,0.02542,0.07908,-0.36651,-0.05158,0.92898,0.22884,-0.97274,0.03631,-1,1,0.50196,1,1,0.04616,0.47532,0.50654,0.49664,0.99995
90,27,-0.28578,0.04081,0.08474,-0.29564,-0.20345,0.93338,0.24611,-0.96025,-0.13134,-1,1,0.50196,1,1,0.02519,0.45564,0.49707,0.50413,0.99997
91,25,-0.27569,0.02155,0.08189,-0.09134,-0.21914,0.97141,0.24995,-0.94926,-0.19063,-1,1,0.50196,1,0,0.05812,0.44789,0.50205,0.49986,1
92,28,-0.27301,0.03398,0.08603,-0.14344,-0.27963,0.94933,0.25344,-0.93759,-0.23787,-1,1,0.50196,1,1,0.03966,0.43842,0.50088,0.49564,0.99998
93,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
94,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
95,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
96,15,-0.2706,-0.05359,0.07611,0.37925,-0.54514,0.74766,0.17635,-0.75063,-0.63676,-1,1,0.50196,1,1,0.17124,0.4679,0.53741,0.5072,0.99855
97,30,-0.25351,-0.05785,0.04284,0.43372,-0.87369,0.22034,-0.03037,-0.25857,-0.96551,-1,1,0.50196,1,1,0.21917,0.44091,0.50127,0.49919,1
98,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
99,31,-0.23027,-0.04537,0.04247,0.42863,-0.87939,0.207,-0.06581,-0.25886,-0.96366,-1,1,0.50196,1,1,0.21106,0.39973,0.49987,0.50173,1
100,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
101,30,-0.25351,-0.05785,0.04284,0.43372,-0.87369,0.22034,-0.03037,-0.25857,-0.96551,-1,1,0.50196,1,1,0.21917,0.44091,0.50127,0.49919,1
102,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
103,31,-0.23027,-0.04537,0.04247,0.42863,-0.87939,0.207,-0.06581,-0.25886,-0.96366,-1,1,0.50196,1,1,0.21106,0.39973,0.49987,0.50173,1
104,32,-0.23131,-0.03756,0.06777,0.36959,-0.61086,0.70015,0.12027,-0.71566,-0.68796,-1,1,0.50196,1,1,0.16942,0.40344,0.46338,0.50835,0.99859
105,32,-0.23131,-0.03756,0.06777,0.36959,-0.61086,0.70015,0.12027,-0.71566,-0.68796,-1,1,0.50196,1,1,0.16942,0.40344,0.46338,0.50835,0.99859
106,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
107,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
108,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
109,29,-0.25037,-0.04591,0.07153,0.37669,-0.57074,0.72963,0.14113,-0.7431,-0.65413,-1,1,0.50196,1,1,0.17084,0.43591,0.49712,0.50534,0.99996
110,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
111,34,-0.25574,0.00591,0.07893,0.07429,-0.1028,0.99192,0.24141,-0.96323,-0.1179,-1,1,0.50196,1,0,0.09014,0.423,0.50037,0.50832,0.99993
112,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
113,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
114,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
115,35,-0.23746,0.01255,0.0772,0.13501,-0.04658,0.98975,0.26482,-0.96081,-0.08133,-1,1,0.50196,1,0,0.08952,0.39187,0.50197,0.49861,0.99999
116,34,-0.25574,0.00591,0.07893,0.07429,-0.1028,0.99192,0.24141,-0.96323,-0.1179,-1,1,0.50196,1,0,0.09014,0.423,0.50037,0.50832,0.99993
117,35,-0.23746,0.01255,0.0772,0.13501,-0.04658,0.98975,0.26482,-0.96081,-0.08133,-1,1,0.50196,1,0,0.08952,0.39187,0.50197,0.49861,0.99999
118,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
119,36,-0.23376,-0.0075,0.07575,0.14726,-0.14508,0.9784,0.25877,-0.94902,-0.17967,-1,1,0.50196,1,1,0.12129,0.39448,0.50004,0.50031,1
120,33,-0.25276,-0.01283,0.07726,0.12936,-0.12819,0.98328,0.2563,-0.95359,-0.15804,-1,1,0.50196,1,1,0.11943,0.42561,0.49984,0.49514,0.99998
121,32,-0.23131,-0.03756,0.06777,0.36959,-0.61086,0.70015,0.12027,-0.71566,-0.68796,-1,1,0.50196,1,1,0.16942,0.40344,0.46338,0.50835,0.99859
122,36,-0.23376,-0.0075,0.07575,0.14726,-0.14508,0.9784,0.25877,-0.94902,-0.17967,-1,1,0.50196,1,1,0.12129,0.39448,0.50004,0.50031,1
123,14,-0.26898,-0.01704,0.07856,0.0996,-0.05602,0.99345,0.23473,-0.96891,-0.07817,-1,1,0.50196,1,0,0.11791,0.45172,0.50289,0.49707,0.99998
124,34,-0.25574,0.00591,0.07893,0.07429,-0.1028,0.99192,0.24141,-0.96323,-0.1179,-1,1,0.50196,1,0,0.09014,0.423,0.50037,0.50832,0.99993
125,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
126,34,-0.25574,0.00591,0.07893,0.07429,-0.1028,0.99192,0.24141,-0.96323,-0.1179,-1,1,0.50196,1,0,0.09014,0.423,0.50037,0.50832,0.99993
127,25,-0.27569,0.02155,0.08189,-0.09134,-0.21914,0.97141,0.24995,-0.94926,-0.19063,-1,1,0.50196,1,0,0.05812,0.44789,0.50205,0.49986,1
128,12,-0.27562,0.00392,0.07852,-0.02374,-0.0654,0.99758,0.22476,-0.97266,-0.05842,-1,1,0.50196,1,0,0.08453,0.45515,0.48322,0.49101,0.99964
129,32,-0.23131,-0.03756,0.06777,0.36959,-0.61086,0.70015,0.12027,-0.71566,-0.68796,-1,1,0.50196,1,1,0.16942,0.40344,0.46338,0.50835,0.99859
130,37,-0.21568,-0.00257,0.07324,0.19063,-0.16396,0.96787,0.24697,-0.94614,-0.20893,-1,1,0.50196,1,1,0.12302,0.36432,0.49386,0.49846,0.99996
131,36,-0.23376,-0.0075,0.07575,0.14726,-0.14508,0.9784,0.25877,-0.94902,-0.17967,-1,1,0.50196,1,1,0.12129,0.39448,0.50004,0.50031,1
132,37,-0.21568,-0.00257,0.07324,0.19063,-0.16396,0.96787,0.24697,-0.94614,-0.20893,-1,1,0.50196,1,1,0.12302,0.36432,0.49386,0.49846,0.99996
133,35,-0.23746,0.01255,0.0772,0.13501,-0.04658,0.98975,0.26482,-0.96081,-0.08133,-1,1,0.50196,1,0,0.08952,0.39187,0.50197,0.49861,0.99999
134,36,-0.23376,-0.0075,0.07575,0.14726,-0.14508,0.9784,0.25877,-0.94902,-0.17967,-1,1,0.50196,1,1,0.12129,0.39448,0.50004,0.50031,1
135,37,-0.21568,-0.00257,0.07324,0.19063,-0.16396,0.96787,0.24697,-0.94614,-0.20893,-1,1,0.50196,1,1,0.12302,0.36432,0.49386,0.49846,0.99996
136,32,-0.23131,-0.03756,0.06777,0.36959,-0.61086,0.70015,0.12027,-0.71566,-0.68796,-1,1,0.50196,1,1,0.16942,0.40344,0.46338,0.50835,0.99859
137,38,-0.21326,-0.0296,0.06442,0.38013,-0.63173,0.67555,0.11145,-0.69369,-0.71152,-1,1,0.50196,1,1,0.16746,0.37159,0.45487,0.50656,0.99792
138,38,-0.21326,-0.0296,0.06442,0.38013,-0.63173,0.67555,0.11145,-0.69369,-0.71152,-1,1,0.50196,1,1,0.16746,0.37159,0.45487,0.50656,0.99792
139,39,-0.19558,0.00066,0.06958,0.19654,-0.20939,0.95788,0.22042,-0.94244,-0.25125,-1,1,0.50196,1,1,0.1272,0.33095,0.52603,0.50106,0.99932
140,37,-0.21568,-0.00257,0.07324,0.19063,-0.16396,0.96787,0.24697,-0.94614,-0.20893,-1,1,0.50196,1,1,0.12302,0.36432,0.49386,0.49846,0.99996
141,39,-0.19558,0.00066,0.06958,0.19654,-0.20939,0.95788,0.22042,-0.94244,-0.25125,-1,1,0.50196,1,1,0.1272,0.33095,0.52603,0.50106,0.99932
142,38,-0.21326,-0.0296,0.06442,0.38013,-0.63173,0.67555,0.11145,-0.69369,-0.71152,-1,1,0.50196,1,1,0.16746,0.37159,0.45487,0.50656,0.99792
143,40,-0.19359,-0.02172,0.06094,0.32807,-0.65524,0.68044,0.11239,-0.68807,-0.71684,-1,1,0.50196,1,1,0.16469,0.33643,0.54797,0.49779,0.99769
144,41,-0.17371,-0.01651,0.058,0.13471,-0.72357,0.67697,0.17156,-0.65583,-0.73511,-1,1,0.50196,1,1,0.16574,0.30224,0.50239,0.50206,0.99999
145,39,-0.19558,0.00066,0.06958,0.19654,-0.20939,0.95788,0.22042,-0.94244,-0.25125,-1,1,0.50196,1,1,0.1272,0.33095,0.52603,0.50106,0.99932
146,40,-0.19359,-0.02172,0.06094,0.32807,-0.65524,0.68044,0.11239,-0.68807,-0.71684,-1,1,0.50196,1,1,0.16469,0.33643,0.54797,0.49779,0.99769
