VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
23,9,-0.19977,0.01778,-0.10213,-0.31767,-0.18241,-0.93049,-0.04076,-0.97779,0.2056,-1,1.2981,0.51733,0.39211,0.69076,0.05059
24,9,-0.19977,0.01778,-0.10213,-0.31767,-0.18241,-0.93049,-0.04076,-0.97779,0.2056,-1,1.2981,0.51733,0.39211,0.69076,0.05059
25,10,-0.19072,0.01265,-0.10115,0.29805,-0.20817,-0.93157,-0.04073,-0.97781,0.20548,-1,1.31703,0.54935,0.59706,0.39525,0.02083
26,8,-0.19997,0.01298,-0.10112,-0.32138,-0.18191,-0.92931,-0.04073,-0.97781,0.20549,-1,1.31703,0.51733,0.29022,0.41512,0.05414
27,10,-0.19072,0.01265,-0.10115,0.29805,-0.20817,-0.93157,-0.04073,-0.97781,0.20548,-1,1.31703,0.54935,0.59706,0.39525,0.02083
28,9,-0.19977,0.01778,-0.10213,-0.31767,-0.18241,-0.93049,-0.04076,-0.97779,0.2056,-1,1.2981,0.51733,0.39211,0.69076,0.05059
29,11,-0.19052,0.01746,-0.10216,0.29953,-0.2079,-0.93116,-0.04066,-0.97787,0.20524,-1,1.2981,0.54935,0.6513,0.68303,0.05999
30,12,-0.19021,0.02315,-0.07419,0.32036,0.17688,0.93063,-0.03964,-0.97905,0.19973,1,1.2981,0.42128,0.62714,0.84276,0.84111
31,13,-0.19966,0.01854,-0.07315,-0.29951,0.20242,0.93237,-0.03966,-0.97903,0.19981,1,1.31703,0.38926,0.40286,0.60184,0.97978
32,14,-0.19041,0.0182,-0.07318,0.31846,0.17716,0.93123,-0.03967,-0.97903,0.19982,1,1.31703,0.42128,0.70985,0.58264,0.94624
33,13,-0.19966,0.01854,-0.07315,-0.29951,0.20242,0.93237,-0.03966,-0.97903,0.19981,1,1.31703,0.38926,0.40286,0.60184,0.97978
34,12,-0.19021,0.02315,-0.07419,0.32036,0.17688,0.93063,-0.03964,-0.97905,0.19973,1,1.2981,0.42128,0.62714,0.84276,0.84111
35,15,-0.19946,0.02349,-0.07416,-0.29787,0.20264,0.93285,-0.03971,-0.97899,0.19999,1,1.2981,0.38926,0.36758,0.8507,0.83087
36,14,-0.19041,0.0182,-0.07318,0.31846,0.17716,0.93123,-0.03967,-0.97903,0.19982,1,1.31703,0.42128,0.70985,0.58264,0.94624
37,16,-0.18278,0.02179,-0.07956,0.81554,0.08405,0.57257,-0.0398,-0.97891,0.20039,1,1.2981,0.4533,0.84157,0.80581,0.69952
38,12,-0.19021,0.02315,-0.07419,0.32036,0.17688,0.93063,-0.03964,-0.97905,0.19973,1,1.2981,0.42128,0.62714,0.84276,0.84111
39,16,-0.18278,0.02179,-0.07956,0.81554,0.08405,0.57257,-0.0398,-0.97891,0.20039,1,1.2981,0.4533,0.84157,0.80581,0.69952
40,14,-0.19041,0.0182,-0.07318,0.31846,0.17716,0.93123,-0.03967,-0.97903,0.19982,1,1.31703,0.42128,0.70985,0.58264,0.94624
41,17,-0.18298,0.01686,-0.07855,0.81435,0.08456,0.57419,-0.03992,-0.97883,0.20077,1,1.31703,0.4533,0.9363,0.5319,0.74212
42,17,-0.18298,0.01686,-0.07855,0.81435,0.08456,0.57419,-0.03992,-0.97883,0.20077,1,1.31703,0.4533,0.9363,0.5319,0.74212
43,18,-0.18002,0.01992,-0.08821,0.99913,-0.04168,-0.00326,-0.04017,-0.97858,0.20189,1,1.2981,0.48531,0.92881,0.75419,0.46119
44,16,-0.18278,0.02179,-0.07956,0.81554,0.08405,0.57257,-0.0398,-0.97891,0.20039,1,1.2981,0.4533,0.84157,0.80581,0.69952
45,18,-0.18002,0.01992,-0.08821,0.99913,-0.04168,-0.00326,-0.04017,-0.97858,0.20189,1,1.2981,0.48531,0.92881,0.75419,0.46119
46,17,-0.18298,0.01686,-0.07855,0.81435,0.08456,0.57419,-0.03992,-0.97883,0.20077,1,1.31703,0.4533,0.9363,0.5319,0.74212
47,19,-0.18022,0.01504,-0.0872,0.99914,-0.04141,-0.00128,-0.04029,-0.97846,0.20246,1,1.31703,0.48531,0.99606,0.46832,0.44596
48,19,-0.18022,0.01504,-0.0872,0.99914,-0.04141,-0.00128,-0.04029,-0.97846,0.20246,1,1.31703,0.48531,0.99606,0.46832,0.44596
49,20,-0.18298,0.01828,-0.09685,0.80206,-0.15346,-0.57719,-0.04051,-0.97818,0.20378,1,1.2981,0.51733,0.85629,0.70736,0.21705
50,18,-0.18002,0.01992,-0.08821,0.99913,-0.04168,-0.00326,-0.04017,-0.97858,0.20189,1,1.2981,0.48531,0.92881,0.75419,0.46119
51,20,-0.18298,0.01828,-0.09685,0.80206,-0.15346,-0.57719,-0.04051,-0.97818,0.20378,1,1.2981,0.51733,0.85629,0.70736,0.21705
52,19,-0.18022,0.01504,-0.0872,0.99914,-0.04141,-0.00128,-0.04029,-0.97846,0.20246,1,1.31703,0.48531,0.99606,0.46832,0.44596
53,21,-0.18318,0.01343,-0.09584,0.8026,-0.15369,-0.57639,-0.04058,-0.97807,0.2043,1,1.31703,0.51733,0.8666,0.41587,0.17057
54,21,-0.18318,0.01343,-0.09584,0.8026,-0.15369,-0.57639,-0.04058,-0.97807,0.2043,1,1.31703,0.51733,0.8666,0.41587,0.17057
55,22,-0.19052,0.01746,-0.10216,0.29953,-0.2079,-0.93116,-0.04073,-0.97787,0.20522,1,1.2981,0.54935,0.6513,0.68303,0.05999
56,20,-0.18298,0.01828,-0.09685,0.80206,-0.15346,-0.57719,-0.04051,-0.97818,0.20378,1,1.2981,0.51733,0.85629,0.70736,0.21705
57,22,-0.19052,0.01746,-0.10216,0.29953,-0.2079,-0.93116,-0.04073,-0.97787,0.20522,1,1.2981,0.54935,0.6513,0.68303,0.05999
58,21,-0.18318,0.01343,-0.09584,0.8026,-0.15369,-0.57639,-0.04058,-0.97807,0.2043,1,1.31703,0.51733,0.8666,0.41587,0.17057
59,23,-0.19072,0.01265,-0.10115,0.29805,-0.20817,-0.93157,-0.04074,-0.97781,0.20547,1,1.31703,0.54935,0.59706,0.39525,0.02083
60,24,-0.20424,0.02373,-0.08175,-0.17662,0.98328,-0.04429,-0.93584,-0.1817,-0.30197,1,1.17406,0.71004,0.40272,0.98934,0.46709
61,25,-0.20996,0.02098,-0.08811,-0.39625,0.90033,-0.17995,-0.87163,-0.43047,-0.23442,1,1.19605,0.69747,0.09148,0.77954,0.42954
62,26,-0.207,0.02266,-0.07947,-0.31389,0.94714,0.06631,-0.91305,-0.28196,-0.29469,1,1.18022,0.71869,0.16325,0.8265,0.67318
63,25,-0.20996,0.02098,-0.08811,-0.39625,0.90033,-0.17995,-0.87163,-0.43047,-0.23442,1,1.19605,0.69747,0.09148,0.77954,0.42954
64,24,-0.20424,0.02373,-0.08175,-0.17662,0.98328,-0.04429,-0.93584,-0.1817,-0.30197,1,1.17406,0.71004,0.40272,0.98934,0.46709
65,27,-0.20653,0.02242,-0.08844,-0.22637,0.95458,-0.19375,-0.92506,-0.27297,-0.26409,1,1.18596,0.69409,0.38603,0.97413,0.38948
66,26,-0.207,0.02266,-0.07947,-0.31389,0.94714,0.06631,-0.91305,-0.28196,-0.29469,1,1.18022,0.71869,0.16325,0.8265,0.67318
67,28,-0.19839,0.02438,-0.07763,-0.04529,0.99774,0.04957,-0.95074,-0.02781,-0.30875,1,1.15506,0.71595,0.46347,0.99821,0.52116
68,24,-0.20424,0.02373,-0.08175,-0.17662,0.98328,-0.04429,-0.93584,-0.1817,-0.30197,1,1.17406,0.71004,0.40272,0.98934,0.46709
69,28,-0.19839,0.02438,-0.07763,-0.04529,0.99774,0.04957,-0.95074,-0.02781,-0.30875,1,1.15506,0.71595,0.46347,0.99821,0.52116
70,26,-0.207,0.02266,-0.07947,-0.31389,0.94714,0.06631,-0.91305,-0.28196,-0.29469,1,1.18022,0.71869,0.16325,0.8265,0.67318
71,29,-0.19946,0.02349,-0.07416,-0.09795,0.97055,0.22009,-0.95077,-0.02593,-0.3088,1,1.15497,0.72656,0.36758,0.8507,0.83087
72,29,-0.19946,0.02349,-0.07416,-0.09795,0.97055,0.22009,-0.95077,-0.02593,-0.3088,1,1.15497,0.72656,0.36758,0.8507,0.83087
73,30,-0.19122,0.02412,-0.07765,0.11745,0.99184,0.04963,-0.94351,0.12704,-0.30602,1,1.13622,0.70956,0.54528,0.99704,0.52999
74,28,-0.19839,0.02438,-0.07763,-0.04529,0.99774,0.04957,-0.95074,-0.02781,-0.30875,1,1.15506,0.71595,0.46347,0.99821,0.52116
75,30,-0.19122,0.02412,-0.07765,0.11745,0.99184,0.04963,-0.94351,0.12704,-0.30602,1,1.13622,0.70956,0.54528,0.99704,0.52999
76,29,-0.19946,0.02349,-0.07416,-0.09795,0.97055,0.22009,-0.95077,-0.02593,-0.3088,1,1.15497,0.72656,0.36758,0.8507,0.83087
77,31,-0.19021,0.02315,-0.07419,0.16892,0.96077,0.21997,-0.92237,0.23275,-0.30831,1,1.12991,0.7181,0.62714,0.84276,0.84111
78,31,-0.19021,0.02315,-0.07419,0.16892,0.96077,0.21997,-0.92237,0.23275,-0.30831,1,1.12991,0.7181,0.62714,0.84276,0.84111
79,32,-0.18546,0.02306,-0.08182,0.24725,0.96793,-0.04446,-0.91865,0.21957,-0.32843,1,1.12472,0.69333,0.61604,0.98624,0.4898
80,30,-0.19122,0.02412,-0.07765,0.11745,0.99184,0.04963,-0.94351,0.12704,-0.30602,1,1.13622,0.70956,0.54528,0.99704,0.52999
81,32,-0.18546,0.02306,-0.08182,0.24725,0.96793,-0.04446,-0.91865,0.21957,-0.32843,1,1.12472,0.69333,0.61604,0.98624,0.4898
82,31,-0.19021,0.02315,-0.07419,0.16892,0.96077,0.21997,-0.92237,0.23275,-0.30831,1,1.12991,0.7181,0.62714,0.84276,0.84111
83,33,-0.18278,0.02179,-0.07956,0.38227,0.92173,0.06552,-0.85823,0.38042,-0.34456,1,1.1146,0.69653,0.84157,0.80581,0.69952
84,33,-0.18278,0.02179,-0.07956,0.38227,0.92173,0.06552,-0.85823,0.38042,-0.34456,1,1.1146,0.69653,0.84157,0.80581,0.69952
85,34,-0.18332,0.02161,-0.08853,0.29391,0.93576,-0.19485,-0.90739,0.20908,-0.36459,1,1.12496,0.67343,0.64816,0.97021,0.41661
86,32,-0.18546,0.02306,-0.08182,0.24725,0.96793,-0.04446,-0.91865,0.21957,-0.32843,1,1.12472,0.69333,0.61604,0.98624,0.4898
87,34,-0.18332,0.02161,-0.08853,0.29391,0.93576,-0.19485,-0.90739,0.20908,-0.36459,1,1.12496,0.67343,0.64816,0.97021,0.41661
88,33,-0.18278,0.02179,-0.07956,0.38227,0.92173,0.06552,-0.85823,0.38042,-0.34456,1,1.1146,0.69653,0.84157,0.80581,0.69952
89,35,-0.18002,0.01992,-0.08821,0.45951,0.86929,-0.18215,-0.84239,0.36158,-0.39954,1,1.11487,0.67006,0.92881,0.75419,0.46119
90,35,-0.18002,0.01992,-0.08821,0.45951,0.86929,-0.18215,-0.84239,0.36158,-0.39954,1,1.11487,0.67006,0.92881,0.75419,0.46119
91,36,-0.18561,0.02031,-0.09522,0.241,0.90783,-0.34316,-0.92556,0.1086,-0.3627,1,1.13687,0.65748,0.62977,0.95524,0.33903
92,34,-0.18332,0.02161,-0.08853,0.29391,0.93576,-0.19485,-0.90739,0.20908,-0.36459,1,1.12496,0.67343,0.64816,0.97021,0.41661
93,36,-0.18561,0.02031,-0.09522,0.241,0.90783,-0.34316,-0.92556,0.1086,-0.3627,1,1.13687,0.65748,0.62977,0.95524,0.33903
94,35,-0.18002,0.01992,-0.08821,0.45951,0.86929,-0.18215,-0.84239,0.36158,-0.39954,1,1.11487,0.67006,0.92881,0.75419,0.46119
95,37,-0.18298,0.01828,-0.09685,0.37279,0.82395,-0.42678,-0.89622,0.20054,-0.39569,1,1.1307,0.64883,0.85629,0.70736,0.21705
96,37,-0.18298,0.01828,-0.09685,0.37279,0.82395,-0.42678,-0.89622,0.20054,-0.39569,1,1.1307,0.64883,0.85629,0.70736,0.21705
97,38,-0.19146,0.01967,-0.09934,0.10985,0.89443,-0.43352,-0.95089,-0.03241,-0.30783,1,1.15586,0.65158,0.56855,0.94695,0.28661
98,36,-0.18561,0.02031,-0.09522,0.241,0.90783,-0.34316,-0.92556,0.1086,-0.3627,1,1.13687,0.65748,0.62977,0.95524,0.33903
99,38,-0.19146,0.01967,-0.09934,0.10985,0.89443,-0.43352,-0.95089,-0.03241,-0.30783,1,1.15586,0.65158,0.56855,0.94695,0.28661
100,37,-0.18298,0.01828,-0.09685,0.37279,0.82395,-0.42678,-0.89622,0.20054,-0.39569,1,1.1307,0.64883,0.85629,0.70736,0.21705
101,39,-0.19052,0.01746,-0.10216,0.15717,0.80232,-0.57583,-0.9511,-0.03402,-0.30699,1,1.15596,0.64096,0.6513,0.68303,0.05999
102,39,-0.19052,0.01746,-0.10216,0.15717,0.80232,-0.57583,-0.9511,-0.03402,-0.30699,1,1.15596,0.64096,0.6513,0.68303,0.05999
103,40,-0.19863,0.01992,-0.09931,-0.04959,0.90019,-0.43267,-0.9547,-0.16999,-0.24424,1,1.1747,0.65796,0.48813,0.94823,0.27876
104,38,-0.19146,0.01967,-0.09934,0.10985,0.89443,-0.43352,-0.95089,-0.03241,-0.30783,1,1.15586,0.65158,0.56855,0.94695,0.28661
105,40,-0.19863,0.01992,-0.09931,-0.04959,0.90019,-0.43267,-0.9547,-0.16999,-0.24424,1,1.1747,0.65796,0.48813,0.94823,0.27876
106,39,-0.19052,0.01746,-0.10216,0.15717,0.80232,-0.57583,-0.9511,-0.03402,-0.30699,1,1.15596,0.64096,0.6513,0.68303,0.05999
107,41,-0.19977,0.01778,-0.10213,-0.10516,0.81177,-0.57444,-0.94182,-0.26674,-0.20453,1,1.18101,0.64943,0.39211,0.69076,0.05059
108,41,-0.19977,0.01778,-0.10213,-0.10516,0.81177,-0.57444,-0.94182,-0.26674,-0.20453,1,1.18101,0.64943,0.39211,0.69076,0.05059
109,42,-0.20439,0.02097,-0.09515,-0.1776,0.92297,-0.34145,-0.93707,-0.26459,-0.22779,1,1.1862,0.6742,0.41872,0.95852,0.31792
110,40,-0.19863,0.01992,-0.09931,-0.04959,0.90019,-0.43267,-0.9547,-0.16999,-0.24424,1,1.1747,0.65796,0.48813,0.94823,0.27876
111,42,-0.20439,0.02097,-0.09515,-0.1776,0.92297,-0.34145,-0.93707,-0.26459,-0.22779,1,1.1862,0.6742,0.41872,0.95852,0.31792
112,41,-0.19977,0.01778,-0.10213,-0.10516,0.81177,-0.57444,-0.94182,-0.26674,-0.20453,1,1.18101,0.64943,0.39211,0.69076,0.05059
113,43,-0.2072,0.01912,-0.09676,-0.31599,0.84881,-0.42389,-0.88968,-0.42029,-0.1784,1,1.19633,0.67099,0.17852,0.7277,0.1921
114,43,-0.2072,0.01912,-0.09676,-0.31599,0.84881,-0.42389,-0.88968,-0.42029,-0.1784,1,1.19633,0.67099,0.17852,0.7277,0.1921
115,27,-0.20653,0.02242,-0.08844,-0.22637,0.95458,-0.19375,-0.92506,-0.27297,-0.26409,1,1.18596,0.69409,0.38603,0.97413,0.38948
116,42,-0.20439,0.02097,-0.09515,-0.1776,0.92297,-0.34145,-0.93707,-0.26459,-0.22779,1,1.1862,0.6742,0.41872,0.95852,0.31792
117,27,-0.20653,0.02242,-0.08844,-0.22637,0.95458,-0.19375,-0.92506,-0.27297,-0.26409,1,1.18596,0.69409,0.38603,0.97413,0.38948
118,43,-0.2072,0.01912,-0.09676,-0.31599,0.84881,-0.42389,-0.88968,-0.42029,-0.1784,1,1.19633,0.67099,0.17852,0.7277,0.1921
119,25,-0.20996,0.02098,-0.08811,-0.39625,0.90033,-0.17995,-0.87163,-0.43047,-0.23442,1,1.19605,0.69747,0.09148,0.77954,0.42954
120,30,-0.19122,0.02412,-0.07765,0.11745,0.99184,0.04963,-0.94351,0.12704,-0.30602,1,1.13622,0.70956,0.54528,0.99704,0.52999
121,32,-0.18546,0.02306,-0.08182,0.24725,0.96793,-0.04446,-0.91865,0.21957,-0.32843,1,1.12472,0.69333,0.61604,0.98624,0.4898
122,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
123,32,-0.18546,0.02306,-0.08182,0.24725,0.96793,-0.04446,-0.91865,0.21957,-0.32843,1,1.12472,0.69333,0.61604,0.98624,0.4898
124,34,-0.18332,0.02161,-0.08853,0.29391,0.93576,-0.19485,-0.90739,0.20908,-0.36459,1,1.12496,0.67343,0.64816,0.97021,0.41661
125,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
126,34,-0.18332,0.02161,-0.08853,0.29391,0.93576,-0.19485,-0.90739,0.20908,-0.36459,1,1.12496,0.67343,0.64816,0.97021,0.41661
127,36,-0.18561,0.02031,-0.09522,0.241,0.90783,-0.34316,-0.92556,0.1086,-0.3627,1,1.13687,0.65748,0.62977,0.95524,0.33903
128,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
129,36,-0.18561,0.02031,-0.09522,0.241,0.90783,-0.34316,-0.92556,0.1086,-0.3627,1,1.13687,0.65748,0.62977,0.95524,0.33903
130,38,-0.19146,0.01967,-0.09934,0.10985,0.89443,-0.43352,-0.95089,-0.03241,-0.30783,1,1.15586,0.65158,0.56855,0.94695,0.28661
131,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
132,38,-0.19146,0.01967,-0.09934,0.10985,0.89443,-0.43352,-0.95089,-0.03241,-0.30783,1,1.15586,0.65158,0.56855,0.94695,0.28661
133,40,-0.19863,0.01992,-0.09931,-0.04959,0.90019,-0.43267,-0.9547,-0.16999,-0.24424,1,1.1747,0.65796,0.48813,0.94823,0.27876
134,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
135,40,-0.19863,0.01992,-0.09931,-0.04959,0.90019,-0.43267,-0.9547,-0.16999,-0.24424,1,1.1747,0.65796,0.48813,0.94823,0.27876
136,42,-0.20439,0.02097,-0.09515,-0.1776,0.92297,-0.34145,-0.93707,-0.26459,-0.22779,1,1.1862,0.6742,0.41872,0.95852,0.31792
137,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
138,42,-0.20439,0.02097,-0.09515,-0.1776,0.92297,-0.34145,-0.93707,-0.26459,-0.22779,1,1.1862,0.6742,0.41872,0.95852,0.31792
139,27,-0.20653,0.02242,-0.08844,-0.22637,0.95458,-0.19375,-0.92506,-0.27297,-0.26409,1,1.18596,0.69409,0.38603,0.97413,0.38948
140,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
141,27,-0.20653,0.02242,-0.08844,-0.22637,0.95458,-0.19375,-0.92506,-0.27297,-0.26409,1,1.18596,0.69409,0.38603,0.97413,0.38948
142,24,-0.20424,0.02373,-0.08175,-0.17662,0.98328,-0.04429,-0.93584,-0.1817,-0.30197,1,1.17406,0.71004,0.40272,0.98934,0.46709
143,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
144,24,-0.20424,0.02373,-0.08175,-0.17662,0.98328,-0.04429,-0.93584,-0.1817,-0.30197,1,1.17406,0.71004,0.40272,0.98934,0.46709
145,28,-0.19839,0.02438,-0.07763,-0.04529,0.99774,0.04957,-0.95074,-0.02781,-0.30875,1,1.15506,0.71595,0.46347,0.99821,0.52116
146,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
147,28,-0.19839,0.02438,-0.07763,-0.04529,0.99774,0.04957,-0.95074,-0.02781,-0.30875,1,1.15506,0.71595,0.46347,0.99821,0.52116
148,30,-0.19122,0.02412,-0.07765,0.11745,0.99184,0.04963,-0.94351,0.12704,-0.30602,1,1.13622,0.70956,0.54528,0.99704,0.52999
149,44,-0.19493,0.02202,-0.08848,0.03377,0.9789,-0.20155,-0.94971,-0.03138,-0.31154,1,1.15546,0.68376,0.51689,0.98945,0.39923
150,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
151,46,-0.27322,0.01556,0.09439,-0.06286,0.99735,0.03649,0.19064,-0.02389,0.98137,1,1.9213,0.19556,0.1978,0.74912,0.18917
152,47,-0.27975,0.01441,0.11465,-0.06287,0.99736,0.03634,0.1906,-0.02375,0.98138,1,1.96812,0.17097,0.26773,0.93492,0.58306
153,46,-0.27322,0.01556,0.09439,-0.06286,0.99735,0.03649,0.19064,-0.02389,0.98137,1,1.9213,0.19556,0.1978,0.74912,0.18917
154,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
155,48,-0.253,0.01699,0.09026,-0.06282,0.99736,0.03648,0.19107,-0.02386,0.98129,1,1.9213,0.24501,0.218,0.78698,0.20315
156,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
157,49,-0.24085,0.01829,0.07303,-0.06295,0.99755,0.03048,0.19071,-0.01796,0.98148,1,1.88566,0.28144,0.29049,0.86339,0.22787
158,48,-0.253,0.01699,0.09026,-0.06282,0.99736,0.03648,0.19107,-0.02386,0.98129,1,1.9213,0.24501,0.218,0.78698,0.20315
159,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
160,50,-0.21179,0.0203,0.06688,-0.06255,0.99763,0.02868,0.19087,-0.01624,0.98148,1,1.88566,0.35258,0.31456,0.72631,0.09454
161,49,-0.24085,0.01829,0.07303,-0.06295,0.99755,0.03048,0.19071,-0.01796,0.98148,1,1.88566,0.28144,0.29049,0.86339,0.22787
162,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
163,51,-0.18751,0.02219,0.05096,-0.05982,0.99797,0.02199,0.1907,-0.0102,0.9816,1,1.85886,0.41694,0.1747,0.77656,0.23982
164,50,-0.21179,0.0203,0.06688,-0.06255,0.99763,0.02868,0.19087,-0.01624,0.98148,1,1.88566,0.35258,0.31456,0.72631,0.09454
165,45,-0.13167,0.02473,0.08759,-0.05921,0.998,0.0222,0.19067,-0.01052,0.9816,1,1.96812,0.5315,0.58015,0.973,0.64089
166,52,-0.17067,0.02365,0.02488,-0.05757,0.99822,0.01561,0.19066,-0.00436,0.98165,1,1.8054,0.46845,0.27433,0.93968,0.42413
