VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
30,10,-0.23552,0.0868,0.01477,-0.13813,0.96249,-0.23353,0.95547,0.06742,-0.28727,1,1,0.50196,1,1,0.0185,0.48624,0.02085,0.04294,0.50113,0.49666,0.99999
31,11,-0.22805,0.08504,0.00246,-0.11577,0.97699,-0.17911,0.95602,0.06068,-0.28697,1,1,0.50196,1,1,0.03114,0.49819,0.02138,0.04344,0.49755,0.47869,0.99954
32,12,-0.2402,0.08419,0.00707,-0.11948,0.9838,-0.13364,0.95341,0.07613,-0.29192,1,1,0.50196,1,1,0.01556,0.49714,0.02073,0.0434,0.50027,0.49593,0.99998
33,11,-0.22805,0.08504,0.00246,-0.11577,0.97699,-0.17911,0.95602,0.06068,-0.28697,1,1,0.50196,1,1,0.03114,0.49819,0.02138,0.04344,0.49755,0.47869,0.99954
34,13,-0.24016,0.08414,0.00451,-0.04477,0.99875,-0.02215,0.95544,0.03633,-0.29295,1,1,0.50196,1,1,0.01649,0.5001,0.02077,0.04352,0.49724,0.50861,0.99992
35,12,-0.2402,0.08419,0.00707,-0.11948,0.9838,-0.13364,0.95341,0.07613,-0.29192,1,1,0.50196,1,1,0.01556,0.49714,0.02073,0.0434,0.50027,0.49593,0.99998
36,13,-0.24016,0.08414,0.00451,-0.04477,0.99875,-0.02215,0.95544,0.03633,-0.29295,1,1,0.50196,1,1,0.01649,0.5001,0.02077,0.04352,0.49724,0.50861,0.99992
37,11,-0.22805,0.08504,0.00246,-0.11577,0.97699,-0.17911,0.95602,0.06068,-0.28697,1,1,0.50196,1,1,0.03114,0.49819,0.02138,0.04344,0.49755,0.47869,0.99954
38,14,-0.23508,0.08413,-0.00065,-0.06043,0.99815,0.00589,0.95544,0.05955,-0.2891,1,1,0.50196,1,1,0.02412,0.50424,0.02109,0.0437,0.51713,0.49448,0.99968
39,14,-0.23508,0.08413,-0.00065,-0.06043,0.99815,0.00589,0.95544,0.05955,-0.2891,1,1,0.50196,1,1,0.02412,0.50424,0.02109,0.0437,0.51713,0.49448,0.99968
40,15,-0.2421,0.08414,0.00347,0.05541,0.99833,0.01627,0.94912,-0.0476,-0.31131,1,1,0.50196,1,1,0.01462,0.50198,0.02069,0.0436,0.47842,0.50958,0.99944
41,13,-0.24016,0.08414,0.00451,-0.04477,0.99875,-0.02215,0.95544,0.03633,-0.29295,1,1,0.50196,1,1,0.01649,0.5001,0.02077,0.04352,0.49724,0.50861,0.99992
42,15,-0.2421,0.08414,0.00347,0.05541,0.99833,0.01627,0.94912,-0.0476,-0.31131,1,1,0.50196,1,1,0.01462,0.50198,0.02069,0.0436,0.47842,0.50958,0.99944
43,14,-0.23508,0.08413,-0.00065,-0.06043,0.99815,0.00589,0.95544,0.05955,-0.2891,1,1,0.50196,1,1,0.02412,0.50424,0.02109,0.0437,0.51713,0.49448,0.99968
44,16,-0.24202,0.08425,-0.00078,0.05293,0.99857,0.00793,0.94317,-0.04739,-0.3289,1,1,0.50196,1,1,0.01611,0.50648,0.02075,0.04379,0.4829,0.50629,0.99967
45,16,-0.24202,0.08425,-0.00078,0.05293,0.99857,0.00793,0.94317,-0.04739,-0.3289,1,1,0.50196,1,1,0.01611,0.50648,0.02075,0.04379,0.4829,0.50629,0.99967
46,17,-0.24364,0.08443,0.00218,0.14063,0.98995,0.01507,0.91394,-0.12395,-0.38646,1,1,0.50196,1,1,0.01329,0.50402,0.02064,0.04369,0.5,0.5,0.5
47,15,-0.2421,0.08414,0.00347,0.05541,0.99833,0.01627,0.94912,-0.0476,-0.31131,1,1,0.50196,1,1,0.01462,0.50198,0.02069,0.0436,0.47842,0.50958,0.99944
48,17,-0.24364,0.08443,0.00218,0.14063,0.98995,0.01507,0.91394,-0.12395,-0.38646,1,1,0.50196,1,1,0.01329,0.50402,0.02064,0.04369,0.5,0.5,0.5
49,16,-0.24202,0.08425,-0.00078,0.05293,0.99857,0.00793,0.94317,-0.04739,-0.3289,1,1,0.50196,1,1,0.01611,0.50648,0.02075,0.04379,0.4829,0.50629,0.99967
50,18,-0.24358,0.08437,0.00017,0.06014,0.99775,-0.02956,0.89174,-0.06701,-0.44757,1,1,0.50196,1,1,0.01409,0.5063,0.02067,0.04378,0.5,0.5,0.5
51,19,-0.39558,-0.00809,-0.00276,0.05746,0.99701,0.04763,0.99763,-0.0589,0.03391,-1,1,0.50196,1,1,0.05111,0.86319,0.02222,0.0587,0.2664,0.50896,0.94199
52,20,-0.38426,-0.01454,0.00832,0.011,0.80751,0.58925,0.99713,-0.05225,0.05336,-1,1,0.50196,1,1,0.06453,0.87658,0.02278,0.05926,0.79799,0.49527,0.90147
53,21,-0.38293,-0.00968,-0.003,0.12532,0.99097,0.04247,0.99205,-0.12496,-0.00455,-1,1,0.50196,1,1,0.06453,0.86319,0.02278,0.0587,0.8773,0.5,0.82809
54,20,-0.38426,-0.01454,0.00832,0.011,0.80751,0.58925,0.99713,-0.05225,0.05336,-1,1,0.50196,1,1,0.06453,0.87658,0.02278,0.05926,0.79799,0.49527,0.90147
55,19,-0.39558,-0.00809,-0.00276,0.05746,0.99701,0.04763,0.99763,-0.0589,0.03391,-1,1,0.50196,1,1,0.05111,0.86319,0.02222,0.0587,0.2664,0.50896,0.94199
56,22,-0.39634,-0.01427,0.00757,-0.02204,0.78252,0.62186,0.99433,-0.04706,0.0947,-1,1,0.50196,1,1,0.05111,0.87658,0.02222,0.05926,0.23972,0.51871,0.9265
57,22,-0.39634,-0.01427,0.00757,-0.02204,0.78252,0.62186,0.99433,-0.04706,0.0947,-1,1,0.50196,1,1,0.05111,0.87658,0.02222,0.05926,0.23972,0.51871,0.9265
58,23,-0.38701,-0.02848,0.0218,-0.08432,0.5217,0.84856,0.97531,-0.13072,0.17739,-1,1,0.50196,1,1,0.06453,0.89315,0.02278,0.05995,0.80072,0.4448,0.89562
59,20,-0.38426,-0.01454,0.00832,0.011,0.80751,0.58925,0.99713,-0.05225,0.05336,-1,1,0.50196,1,1,0.06453,0.87658,0.02278,0.05926,0.79799,0.49527,0.90147
60,23,-0.38701,-0.02848,0.0218,-0.08432,0.5217,0.84856,0.97531,-0.13072,0.17739,-1,1,0.50196,1,1,0.06453,0.89315,0.02278,0.05995,0.80072,0.4448,0.89562
61,22,-0.39634,-0.01427,0.00757,-0.02204,0.78252,0.62186,0.99433,-0.04706,0.0947,-1,1,0.50196,1,1,0.05111,0.87658,0.02222,0.05926,0.23972,0.51871,0.9265
62,24,-0.39849,-0.0267,0.0196,-0.07327,0.5417,0.83708,0.96624,-0.16897,0.19401,-1,1,0.50196,1,1,0.05111,0.89315,0.02222,0.05995,0.24059,0.56596,0.92232
63,24,-0.39849,-0.0267,0.0196,-0.07327,0.5417,0.83708,0.96624,-0.16897,0.19401,-1,1,0.50196,1,1,0.05111,0.89315,0.02222,0.05995,0.24059,0.56596,0.92232
64,25,-0.38902,-0.04115,0.02614,-0.21748,-0.01002,0.97568,0.94505,-0.25165,0.20797,-1,1,0.50196,1,1,0.06453,0.91128,0.02278,0.06071,0.75159,0.46974,0.93103
65,23,-0.38701,-0.02848,0.0218,-0.08432,0.5217,0.84856,0.97531,-0.13072,0.17739,-1,1,0.50196,1,1,0.06453,0.89315,0.02278,0.05995,0.80072,0.4448,0.89562
66,25,-0.38902,-0.04115,0.02614,-0.21748,-0.01002,0.97568,0.94505,-0.25165,0.20797,-1,1,0.50196,1,1,0.06453,0.91128,0.02278,0.06071,0.75159,0.46974,0.93103
67,24,-0.39849,-0.0267,0.0196,-0.07327,0.5417,0.83708,0.96624,-0.16897,0.19401,-1,1,0.50196,1,1,0.05111,0.89315,0.02222,0.05995,0.24059,0.56596,0.92232
68,26,-0.40016,-0.0389,0.02379,-0.2037,0.00709,0.97875,0.95768,-0.20579,0.20074,-1,1,0.50196,1,1,0.05111,0.91128,0.02222,0.06071,0.17266,0.53124,0.87666
69,27,-0.40146,-0.05004,0.01901,-0.34189,-0.50121,0.79468,0.91295,-0.37726,0.15462,-1,1,0.50196,1,1,0.05111,0.92559,0.02222,0.06131,0.26017,0.51332,0.93852
70,25,-0.38902,-0.04115,0.02614,-0.21748,-0.01002,0.97568,0.94505,-0.25165,0.20797,-1,1,0.50196,1,1,0.06453,0.91128,0.02278,0.06071,0.75159,0.46974,0.93103
71,26,-0.40016,-0.0389,0.02379,-0.2037,0.00709,0.97875,0.95768,-0.20579,0.20074,-1,1,0.50196,1,1,0.05111,0.91128,0.02222,0.06071,0.17266,0.53124,0.87666
72,25,-0.38902,-0.04115,0.02614,-0.21748,-0.01002,0.97568,0.94505,-0.25165,0.20797,-1,1,0.50196,1,1,0.06453,0.91128,0.02278,0.06071,0.75159,0.46974,0.93103
73,27,-0.40146,-0.05004,0.01901,-0.34189,-0.50121,0.79468,0.91295,-0.37726,0.15462,-1,1,0.50196,1,1,0.05111,0.92559,0.02222,0.06131,0.26017,0.51332,0.93852
74,28,-0.39105,-0.05482,0.02057,-0.35087,-0.54281,0.76273,0.90066,-0.41815,0.11643,-1,1,0.50196,1,1,0.06453,0.92559,0.02278,0.06131,0.81304,0.47482,0.88907
75,29,-0.4026,-0.05918,0.00836,-0.3949,-0.79082,0.46732,0.90889,-0.41014,0.07351,-1,1,0.50196,1,1,0.05111,0.94065,0.02222,0.06194,0.2598,0.5022,0.93852
76,28,-0.39105,-0.05482,0.02057,-0.35087,-0.54281,0.76273,0.90066,-0.41815,0.11643,-1,1,0.50196,1,1,0.06453,0.92559,0.02278,0.06131,0.81304,0.47482,0.88907
77,27,-0.40146,-0.05004,0.01901,-0.34189,-0.50121,0.79468,0.91295,-0.37726,0.15462,-1,1,0.50196,1,1,0.05111,0.92559,0.02222,0.06131,0.26017,0.51332,0.93852
78,28,-0.39105,-0.05482,0.02057,-0.35087,-0.54281,0.76273,0.90066,-0.41815,0.11643,-1,1,0.50196,1,1,0.06453,0.92559,0.02278,0.06131,0.81304,0.47482,0.88907
79,29,-0.4026,-0.05918,0.00836,-0.3949,-0.79082,0.46732,0.90889,-0.41014,0.07351,-1,1,0.50196,1,1,0.05111,0.94065,0.02222,0.06194,0.2598,0.5022,0.93852
80,30,-0.39196,-0.06383,0.00913,-0.38334,-0.81049,0.4425,0.91216,-0.40698,0.0441,-1,1,0.50196,1,1,0.06453,0.94065,0.02278,0.06194,0.81142,0.49057,0.89106
81,31,-0.40299,-0.06373,-0.00541,-0.41567,-0.90839,-0.0428,0.90902,-0.41622,0.01152,-1,1,0.50196,1,1,0.05111,0.95712,0.02222,0.06262,0.29915,0.49338,0.95784
82,30,-0.39196,-0.06383,0.00913,-0.38334,-0.81049,0.4425,0.91216,-0.40698,0.0441,-1,1,0.50196,1,1,0.06453,0.94065,0.02278,0.06194,0.81142,0.49057,0.89106
83,29,-0.4026,-0.05918,0.00836,-0.3949,-0.79082,0.46732,0.90889,-0.41014,0.07351,-1,1,0.50196,1,1,0.05111,0.94065,0.02222,0.06194,0.2598,0.5022,0.93852
84,30,-0.39196,-0.06383,0.00913,-0.38334,-0.81049,0.4425,0.91216,-0.40698,0.0441,-1,1,0.50196,1,1,0.06453,0.94065,0.02278,0.06194,0.81142,0.49057,0.89106
85,31,-0.40299,-0.06373,-0.00541,-0.41567,-0.90839,-0.0428,0.90902,-0.41622,0.01152,-1,1,0.50196,1,1,0.05111,0.95712,0.02222,0.06262,0.29915,0.49338,0.95784
86,32,-0.39251,-0.06839,-0.00551,-0.40731,-0.91229,-0.03933,0.91322,-0.40665,-0.01665,-1,1,0.50196,1,1,0.06453,0.95712,0.02278,0.06262,0.91145,0.5,0.78409
87,33,-0.39558,-0.00809,-0.00276,-0.99062,0.13587,0.00814,0.00346,-0.0346,0.99914,-1,1,0.50196,1,1,0.01222,0.64479,0.02059,0.04957,0.50563,0.07795,0.76803
88,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
89,35,-0.39634,-0.01427,0.00757,-0.98973,0.14236,-0.00364,-0.00838,-0.03264,0.99918,-1,1,0.50196,1,1,0.01813,0.64809,0.02084,0.04971,0.74638,0.199,0.81417
90,35,-0.39634,-0.01427,0.00757,-0.98973,0.14236,-0.00364,-0.00838,-0.03264,0.99918,-1,1,0.50196,1,1,0.01813,0.64809,0.02084,0.04971,0.74638,0.199,0.81417
91,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
92,36,-0.39849,-0.0267,0.0196,-0.98991,0.14021,-0.01596,-0.02041,-0.03032,0.99908,-1,1,0.50196,1,1,0.02512,0.65494,0.02113,0.05,0.83621,0.31444,0.8202
93,36,-0.39849,-0.0267,0.0196,-0.98991,0.14021,-0.01596,-0.02041,-0.03032,0.99908,-1,1,0.50196,1,1,0.02512,0.65494,0.02113,0.05,0.83621,0.31444,0.8202
94,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
95,37,-0.40016,-0.0389,0.02379,-0.99184,0.12625,-0.01263,-0.01664,-0.03067,0.99913,-1,1,0.50196,1,1,0.0277,0.66177,0.02124,0.05028,0.80712,0.50093,0.89456
96,37,-0.40016,-0.0389,0.02379,-0.99184,0.12625,-0.01263,-0.01664,-0.03067,0.99913,-1,1,0.50196,1,1,0.0277,0.66177,0.02124,0.05028,0.80712,0.50093,0.89456
97,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
98,38,-0.40146,-0.05004,0.01901,-0.99191,0.12592,-0.01036,-0.01435,-0.03076,0.99917,-1,1,0.50196,1,1,0.02522,0.66816,0.02113,0.05055,0.81313,0.6754,0.84811
99,38,-0.40146,-0.05004,0.01901,-0.99191,0.12592,-0.01036,-0.01435,-0.03076,0.99917,-1,1,0.50196,1,1,0.02522,0.66816,0.02113,0.05055,0.81313,0.6754,0.84811
100,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
101,39,-0.4026,-0.05918,0.00836,-0.99146,0.12937,-0.01066,-0.01468,-0.03017,0.99918,-1,1,0.50196,1,1,0.01941,0.67352,0.02089,0.05077,0.69855,0.79175,0.8542
102,39,-0.4026,-0.05918,0.00836,-0.99146,0.12937,-0.01066,-0.01468,-0.03017,0.99918,-1,1,0.50196,1,1,0.01941,0.67352,0.02089,0.05077,0.69855,0.79175,0.8542
103,34,-0.39953,-0.03675,-0.00413,-0.99096,0.13334,0.00802,0.0036,-0.03338,0.99918,-1,1,0.50196,1,1,0.012,0.66104,0.02058,0.05025,0.49999,0.50055,1
104,40,-0.40299,-0.06373,-0.00541,-0.99186,0.12652,0.00769,0.00364,-0.0322,0.99922,-1,1,0.50196,1,1,0.01176,0.67632,0.02057,0.05089,0.49406,0.8775,0.82781
105,41,-0.38426,-0.01454,0.00832,0.98216,-0.18579,0.02455,-0.09739,-0.61689,-0.78063,-1,1,0.50196,1,1,0.05696,0.25967,0.02246,0.03348,0.08421,0.3687,0.74471
106,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
107,43,-0.38293,-0.00968,-0.003,0.98195,-0.18839,-0.00727,-0.12343,-0.61212,-0.78071,-1,1,0.50196,1,1,0.06003,0.25375,0.02259,0.03323,0.26901,0.23485,0.85544
108,44,-0.38701,-0.02848,0.0218,0.98586,-0.16671,0.00777,-0.09832,-0.61665,-0.7807,-1,1,0.50196,1,1,0.05606,0.27018,0.02242,0.03392,0.05912,0.52492,0.73453
109,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
110,41,-0.38426,-0.01454,0.00832,0.98216,-0.18579,0.02455,-0.09739,-0.61689,-0.78063,-1,1,0.50196,1,1,0.05696,0.25967,0.02246,0.03348,0.08421,0.3687,0.74471
111,45,-0.38902,-0.04115,0.02614,0.98832,-0.15164,0.00311,-0.09254,-0.61782,-0.78048,-1,1,0.50196,1,1,0.05856,0.27704,0.02253,0.0342,0.13889,0.80816,0.65697
112,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
113,44,-0.38701,-0.02848,0.0218,0.98586,-0.16671,0.00777,-0.09832,-0.61665,-0.7807,-1,1,0.50196,1,1,0.05606,0.27018,0.02242,0.03392,0.05912,0.52492,0.73453
114,46,-0.39105,-0.05482,0.02057,0.99046,-0.13666,0.0105,-0.07757,-0.62062,-0.77988,-1,1,0.50196,1,1,0.06556,0.28097,0.02282,0.03437,0.41676,0.95131,0.69847
115,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
116,45,-0.38902,-0.04115,0.02614,0.98832,-0.15164,0.00311,-0.09254,-0.61782,-0.78048,-1,1,0.50196,1,1,0.05856,0.27704,0.02253,0.0342,0.13889,0.80816,0.65697
117,47,-0.39196,-0.06383,0.00913,0.99166,-0.12758,0.01151,-0.07118,-0.62209,-0.77933,-1,1,0.50196,1,1,0.07342,0.28092,0.02315,0.03436,0.61182,0.94753,0.6929
118,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
119,46,-0.39105,-0.05482,0.02057,0.99046,-0.13666,0.0105,-0.07757,-0.62062,-0.77988,-1,1,0.50196,1,1,0.06556,0.28097,0.02282,0.03437,0.41676,0.95131,0.69847
120,48,-0.39251,-0.06839,-0.00551,0.99125,-0.13114,-0.00481,-0.08605,-0.62026,-0.77928,-1,1,0.50196,1,1,0.08111,0.27791,0.02347,0.03424,0.75639,0.79274,0.81396
121,42,-0.38867,-0.03947,-0.00427,0.98786,-0.15451,-0.00581,-0.10127,-0.6168,-0.7802,-1,1,0.50196,1,1,0.07076,0.26608,0.02304,0.03374,0.49988,0.49986,1
122,47,-0.39196,-0.06383,0.00913,0.99166,-0.12758,0.01151,-0.07118,-0.62209,-0.77933,-1,1,0.50196,1,1,0.07342,0.28092,0.02315,0.03436,0.61182,0.94753,0.6929
123,49,-0.40073,-0.01303,0.00859,-0.25348,0.7545,0.60514,0.34272,-0.51491,0.78557,-1,1,0.50196,1,1,0.32021,0.97297,0.03346,0.06329,0.20787,0.57746,0.89832
124,50,-0.4038,-0.02024,0.01619,-0.27499,0.75084,0.60028,0.34715,-0.50466,0.79026,-1,1,0.50196,0.99657,1,0.33296,0.98241,0.03399,0.06368,0.57434,0.81332,0.8825
125,51,-0.39906,-0.0188,0.01667,-0.26043,0.75965,0.59567,0.34318,-0.50381,0.79254,-1,1,0.50196,1,1,0.33505,0.97569,0.03408,0.0634,0.87543,0.57805,0.82088
126,50,-0.4038,-0.02024,0.01619,-0.27499,0.75084,0.60028,0.34715,-0.50466,0.79026,-1,1,0.50196,0.99657,1,0.33296,0.98241,0.03399,0.06368,0.57434,0.81332,0.8825
127,49,-0.40073,-0.01303,0.00859,-0.25348,0.7545,0.60514,0.34272,-0.51491,0.78557,-1,1,0.50196,1,1,0.32021,0.97297,0.03346,0.06329,0.20787,0.57746,0.89832
128,52,-0.40467,-0.01593,0.01059,-0.23914,0.75114,0.61507,0.35344,-0.52262,0.77567,-1,1,0.50196,1,1,0.32309,0.97998,0.03358,0.06358,0.2278,0.79119,0.80186
129,53,-0.39394,-0.017,0.01635,-0.22735,0.76414,0.60342,0.33695,-0.51961,0.78497,-1,1,0.50196,1,1,0.33602,0.96787,0.03412,0.06307,0.8034,0.51868,0.89699
130,49,-0.40073,-0.01303,0.00859,-0.25348,0.7545,0.60514,0.34272,-0.51491,0.78557,-1,1,0.50196,1,1,0.32021,0.97297,0.03346,0.06329,0.20787,0.57746,0.89832
131,51,-0.39906,-0.0188,0.01667,-0.26043,0.75965,0.59567,0.34318,-0.50381,0.79254,-1,1,0.50196,1,1,0.33505,0.97569,0.03408,0.0634,0.87543,0.57805,0.82088
132,49,-0.40073,-0.01303,0.00859,-0.25348,0.7545,0.60514,0.34272,-0.51491,0.78557,-1,1,0.50196,1,1,0.32021,0.97297,0.03346,0.06329,0.20787,0.57746,0.89832
