VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
21,3,-0.06693,0.00116,0.06868,-0.74915,-0.55354,0.36382,0.50196,0.50196,0,0,0.9613,0.26446,-0.25448,-0.26658,-0.92961,-1,0.5,0.5,1
22,4,-0.05987,-0.00359,0.07081,-0.3468,-0.88367,0.31441,0.50196,0.50196,0,0,0.96106,0.2592,0.28664,-0.41902,-0.86154,-1,0.5,0.5,1
23,8,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,0,0,0.95948,0.25899,-0.19477,-0.97653,0.09194,-1,0.5,0.5,1
24,5,-0.05261,-0.00428,0.07053,0.18184,-0.81259,0.55374,0.50196,0.50196,0,0,0.96266,0.25576,0.53671,-0.38983,-0.74832,-1,0.5,0.5,1
25,9,-0.052,-0.00116,0.07105,0.36133,0.2016,0.91038,0.50196,0.50196,0,0,0.96146,0.25485,0.53911,-0.84178,-0.02756,-1,0.5,0.5,1
26,8,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,0,0,0.95948,0.25899,-0.19477,-0.97653,0.09194,-1,0.5,0.5,1
27,9,-0.052,-0.00116,0.07105,0.36133,0.2016,0.91038,0.50196,0.50196,0,0,0.96146,0.25485,0.53911,-0.84178,-0.02756,-1,0.5,0.5,1
28,5,-0.05261,-0.00428,0.07053,0.18184,-0.81259,0.55374,0.50196,0.50196,0,0,0.96266,0.25576,0.53671,-0.38983,-0.74832,-1,0.5,0.5,1
29,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
30,8,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,0,0,0.95948,0.25899,-0.19477,-0.97653,0.09194,-1,0.5,0.5,1
31,10,-0.06546,0.0038,0.07014,-0.40202,0.36424,0.84006,0.50196,0.50196,0,0,0.95997,0.26513,-0.8873,-0.38142,-0.25925,-1,0.5,0.5,1
32,3,-0.06693,0.00116,0.06868,-0.74915,-0.55354,0.36382,0.50196,0.50196,0,0,0.9613,0.26446,-0.25448,-0.26658,-0.92961,-1,0.5,0.5,1
33,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
34,3,-0.06693,0.00116,0.06868,-0.74915,-0.55354,0.36382,0.50196,0.50196,0,0,0.9613,0.26446,-0.25448,-0.26658,-0.92961,-1,0.5,0.5,1
35,10,-0.06546,0.0038,0.07014,-0.40202,0.36424,0.84006,0.50196,0.50196,0,0,0.95997,0.26513,-0.8873,-0.38142,-0.25925,-1,0.5,0.5,1
36,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
37,11,-0.04579,0.00084,0.06733,0.49696,0.17101,0.85076,0.50196,0.50196,0,0,0.96666,0.25089,0.85366,-0.27246,-0.44389,-1,0.5,0.5,1
38,9,-0.052,-0.00116,0.07105,0.36133,0.2016,0.91038,0.50196,0.50196,0,0,0.96146,0.25485,0.53911,-0.84178,-0.02756,-1,0.5,0.5,1
39,11,-0.04579,0.00084,0.06733,0.49696,0.17101,0.85076,0.50196,0.50196,0,0,0.96666,0.25089,0.85366,-0.27246,-0.44389,-1,0.5,0.5,1
40,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
41,12,-0.03969,0.00148,0.06204,0.60092,-0.72951,0.32666,0.50196,0.50196,0,0,0.9724,0.25025,0.6049,0.14792,-0.78244,-1,0.5,0.5,1
42,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
43,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
44,12,-0.03969,0.00148,0.06204,0.60092,-0.72951,0.32666,0.50196,0.50196,0,0,0.9724,0.25025,0.6049,0.14792,-0.78244,-1,0.5,0.5,1
45,12,-0.03969,0.00148,0.06204,0.60092,-0.72951,0.32666,0.50196,0.50196,0,0,0.9724,0.25025,0.6049,0.14792,-0.78244,-1,0.5,0.5,1
46,13,-0.03959,0.00387,0.06311,0.55925,0.10752,0.82199,0.50196,0.50196,0,0,0.97219,0.24892,0.82786,-0.02058,-0.56056,-1,0.5,0.5,1
47,11,-0.04579,0.00084,0.06733,0.49696,0.17101,0.85076,0.50196,0.50196,0,0,0.96666,0.25089,0.85366,-0.27246,-0.44389,-1,0.5,0.5,1
48,10,-0.06546,0.0038,0.07014,-0.40202,0.36424,0.84006,0.50196,0.50196,0,0,0.95997,0.26513,-0.8873,-0.38142,-0.25925,-1,0.5,0.5,1
49,14,-0.06801,0.00946,0.06492,-0.42432,0.69222,0.58377,0.50196,0.50196,0,0,0.9655,0.26923,-0.51123,0.34898,-0.7854,-1,0.5,0.5,1
50,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
51,12,-0.03969,0.00148,0.06204,0.60092,-0.72951,0.32666,0.50196,0.50196,0,0,0.9724,0.25025,0.6049,0.14792,-0.78244,-1,0.5,0.5,1
52,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
53,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
54,13,-0.03959,0.00387,0.06311,0.55925,0.10752,0.82199,0.50196,0.50196,0,0,0.97219,0.24892,0.82786,-0.02058,-0.56056,-1,0.5,0.5,1
55,12,-0.03969,0.00148,0.06204,0.60092,-0.72951,0.32666,0.50196,0.50196,0,0,0.9724,0.25025,0.6049,0.14792,-0.78244,-1,0.5,0.5,1
56,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
57,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
58,16,-0.03315,0.00634,0.05834,0.61846,0.13798,0.77361,0.50196,0.50196,0,0,0.97687,0.2471,0.77386,0.06418,-0.6301,-1,0.5,0.5,1
59,13,-0.03959,0.00387,0.06311,0.55925,0.10752,0.82199,0.50196,0.50196,0,0,0.97219,0.24892,0.82786,-0.02058,-0.56056,-1,0.5,0.5,1
60,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
61,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
62,17,-0.03009,0.00726,0.0491,0.2301,-0.90438,-0.35937,0.50196,0.50196,0,0,0.98278,0.2491,0.57255,0.42441,-0.70147,-1,0.5,0.5,1
63,16,-0.03315,0.00634,0.05834,0.61846,0.13798,0.77361,0.50196,0.50196,0,0,0.97687,0.2471,0.77386,0.06418,-0.6301,-1,0.5,0.5,1
64,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
65,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
66,15,-0.03394,0.00415,0.05717,0.47809,-0.86678,0.14182,0.50196,0.50196,0,0,0.97718,0.24863,0.55626,0.17387,-0.81261,-1,0.5,0.5,1
67,17,-0.03009,0.00726,0.0491,0.2301,-0.90438,-0.35937,0.50196,0.50196,0,0,0.98278,0.2491,0.57255,0.42441,-0.70147,-1,0.5,0.5,1
68,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
69,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
70,19,-0.0313,0.00873,0.0556,0.51176,0.42098,0.74892,0.50196,0.50196,0,0,0.98011,0.24599,0.69672,0.30669,-0.64848,-1,0.5,0.5,1
71,16,-0.03315,0.00634,0.05834,0.61846,0.13798,0.77361,0.50196,0.50196,0,0,0.97687,0.2471,0.77386,0.06418,-0.6301,-1,0.5,0.5,1
72,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
73,17,-0.03009,0.00726,0.0491,0.2301,-0.90438,-0.35937,0.50196,0.50196,0,0,0.98278,0.2491,0.57255,0.42441,-0.70147,-1,0.5,0.5,1
74,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
75,19,-0.0313,0.00873,0.0556,0.51176,0.42098,0.74892,0.50196,0.50196,0,0,0.98011,0.24599,0.69672,0.30669,-0.64848,-1,0.5,0.5,1
76,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
77,21,-0.02876,0.01193,0.05223,0.59745,0.42706,0.67873,0.50196,0.50196,0,0,0.98377,0.24537,0.44598,0.52647,-0.72383,-1,0.5,0.5,1
78,18,-0.02984,0.00623,0.05366,0.79104,-0.47713,0.38289,0.50196,0.50196,0,0,0.98094,0.2474,0.55576,0.29888,-0.77576,-1,0.5,0.5,1
79,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
80,21,-0.02876,0.01193,0.05223,0.59745,0.42706,0.67873,0.50196,0.50196,0,0,0.98377,0.24537,0.44598,0.52647,-0.72383,-1,0.5,0.5,1
81,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
82,17,-0.03009,0.00726,0.0491,0.2301,-0.90438,-0.35937,0.50196,0.50196,0,0,0.98278,0.2491,0.57255,0.42441,-0.70147,-1,0.5,0.5,1
83,22,-0.02658,0.01072,0.04465,0.46529,-0.76218,-0.4501,0.50196,0.50196,0,0,0.98643,0.24963,0.45316,0.64192,-0.61854,-1,0.5,0.5,1
84,22,-0.02658,0.01072,0.04465,0.46529,-0.76218,-0.4501,0.50196,0.50196,0,0,0.98643,0.24963,0.45316,0.64192,-0.61854,-1,0.5,0.5,1
85,17,-0.03009,0.00726,0.0491,0.2301,-0.90438,-0.35937,0.50196,0.50196,0,0,0.98278,0.2491,0.57255,0.42441,-0.70147,-1,0.5,0.5,1
86,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
87,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
88,22,-0.02658,0.01072,0.04465,0.46529,-0.76218,-0.4501,0.50196,0.50196,0,0,0.98643,0.24963,0.45316,0.64192,-0.61854,-1,0.5,0.5,1
89,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
90,21,-0.02876,0.01193,0.05223,0.59745,0.42706,0.67873,0.50196,0.50196,0,0,0.98377,0.24537,0.44598,0.52647,-0.72383,-1,0.5,0.5,1
91,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
92,24,-0.02672,0.01509,0.04666,0.50553,0.67037,0.54318,0.50196,0.50196,0,0,0.98737,0.24604,-0.0545,0.6531,-0.7553,-1,0.5,0.5,1
93,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
94,24,-0.02672,0.01509,0.04666,0.50553,0.67037,0.54318,0.50196,0.50196,0,0,0.98737,0.24604,-0.0545,0.6531,-0.7553,-1,0.5,0.5,1
95,20,-0.02627,0.00914,0.04898,0.90832,-0.38257,0.16911,0.50196,0.50196,0,0,0.98443,0.24733,0.38559,0.60912,-0.69303,-1,0.5,0.5,1
96,25,-0.02743,0.01361,0.03967,0.54368,-0.69999,-0.46306,0.50196,0.50196,0,0,0.98913,0.25142,0.42697,0.70568,-0.56543,-1,0.5,0.5,1
97,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
98,22,-0.02658,0.01072,0.04465,0.46529,-0.76218,-0.4501,0.50196,0.50196,0,0,0.98643,0.24963,0.45316,0.64192,-0.61854,-1,0.5,0.5,1
99,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
100,25,-0.02743,0.01361,0.03967,0.54368,-0.69999,-0.46306,0.50196,0.50196,0,0,0.98913,0.25142,0.42697,0.70568,-0.56543,-1,0.5,0.5,1
101,26,-0.02377,0.01741,0.04006,0.7961,-0.08168,0.59962,0.50196,0.50196,0,0,0.99051,0.24911,0.38528,0.8325,-0.39812,-1,0.5,0.5,1
102,25,-0.02743,0.01361,0.03967,0.54368,-0.69999,-0.46306,0.50196,0.50196,0,0,0.98913,0.25142,0.42697,0.70568,-0.56543,-1,0.5,0.5,1
103,22,-0.02658,0.01072,0.04465,0.46529,-0.76218,-0.4501,0.50196,0.50196,0,0,0.98643,0.24963,0.45316,0.64192,-0.61854,-1,0.5,0.5,1
104,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
105,24,-0.02672,0.01509,0.04666,0.50553,0.67037,0.54318,0.50196,0.50196,0,0,0.98737,0.24604,-0.0545,0.6531,-0.7553,-1,0.5,0.5,1
106,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
107,27,-0.02604,0.01742,0.04185,0.50684,0.28054,0.81511,0.50196,0.50196,0,0,0.99062,0.24766,0.02978,0.9393,-0.3418,-1,0.5,0.5,1
108,26,-0.02377,0.01741,0.04006,0.7961,-0.08168,0.59962,0.50196,0.50196,0,0,0.99051,0.24911,0.38528,0.8325,-0.39812,-1,0.5,0.5,1
109,27,-0.02604,0.01742,0.04185,0.50684,0.28054,0.81511,0.50196,0.50196,0,0,0.99062,0.24766,0.02978,0.9393,-0.3418,-1,0.5,0.5,1
110,23,-0.02487,0.01348,0.04456,0.99233,-0.06804,0.10321,0.50196,0.50196,0,0,0.98766,0.24794,0.11792,0.77162,-0.62506,-1,0.5,0.5,1
111,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
112,14,-0.06801,0.00946,0.06492,-0.42432,0.69222,0.58377,0.50196,0.50196,0,0,0.9655,0.26923,-0.51123,0.34898,-0.7854,-1,0.5,0.5,1
113,28,-0.06651,0.01282,0.05937,-0.54134,0.81576,0.20367,0.50196,0.50196,0,0,0.97102,0.27071,0.24022,0.3822,-0.89231,-1,0.5,0.5,1
114,28,-0.06651,0.01282,0.05937,-0.54134,0.81576,0.20367,0.50196,0.50196,0,0,0.97102,0.27071,0.24022,0.3822,-0.89231,-1,0.5,0.5,1
115,2,-0.06671,0.01058,0.05522,-0.88323,0.09657,-0.45888,0.50196,0.50196,0,0,0.97223,0.26879,0.46809,0.24037,-0.85036,-1,0.5,0.50001,1
116,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
117,29,-0.05908,0.01633,0.05325,-0.12172,0.86853,0.48045,0.50196,0.50196,0.00644,0,0.97644,0.27234,0.59066,0.4524,-0.66817,-1,0.5,0.5,1
118,2,-0.06671,0.01058,0.05522,-0.88323,0.09657,-0.45888,0.50196,0.50196,0,0,0.97223,0.26879,0.46809,0.24037,-0.85036,-1,0.5,0.50001,1
119,28,-0.06651,0.01282,0.05937,-0.54134,0.81576,0.20367,0.50196,0.50196,0,0,0.97102,0.27071,0.24022,0.3822,-0.89231,-1,0.5,0.5,1
120,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
121,31,-0.06801,0.00946,0.06492,-0.42432,0.69222,0.58377,0.50196,0.50196,1,0,0.04916,0.16322,0.74627,0.63247,-0.20753,1,0.5,0.5,1
122,32,-0.06546,0.0038,0.07014,-0.40202,0.36424,0.84006,0.50196,0.50196,1,0,0.01935,0.10899,0.81367,0.56286,0.14535,1,0.5,0.5,1
123,32,-0.06546,0.0038,0.07014,-0.40202,0.36424,0.84006,0.50196,0.50196,1,0,0.01935,0.10899,0.81367,0.56286,0.14535,1,0.5,0.5,1
124,33,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,1,0,0.04119,0.06121,0.96965,0.24316,0.02573,1,0.5,0.5,1
125,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
126,33,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,1,0,0.04119,0.06121,0.96965,0.24316,0.02573,1,0.5,0.5,1
127,34,-0.052,-0.00116,0.07105,0.36133,0.2016,0.91038,0.50196,0.50196,1,0,0.07282,0.03797,0.88395,0.23668,-0.40325,1,0.5,0.5,1
128,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
129,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
130,34,-0.052,-0.00116,0.07105,0.36133,0.2016,0.91038,0.50196,0.50196,1,0,0.07282,0.03797,0.88395,0.23668,-0.40325,1,0.5,0.5,1
131,35,-0.04579,0.00084,0.06733,0.49696,0.17101,0.85076,0.50196,0.50196,1,0,0.1322,0.02966,0.78739,0.32323,-0.52492,1,0.5,0.5,1
132,36,-0.03959,0.00387,0.06311,0.55925,0.10752,0.82199,0.50196,0.50196,1,0,0.19165,0.04094,0.79,0.2314,-0.56776,1,0.5,0.5,1
133,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
134,35,-0.04579,0.00084,0.06733,0.49696,0.17101,0.85076,0.50196,0.50196,1,0,0.1322,0.02966,0.78739,0.32323,-0.52492,1,0.5,0.5,1
135,37,-0.03315,0.00634,0.05834,0.61846,0.13798,0.77361,0.50196,0.50196,1,0,0.24417,0.05387,0.68589,0.38565,-0.61711,1,0.5,0.49999,1
136,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
137,36,-0.03959,0.00387,0.06311,0.55925,0.10752,0.82199,0.50196,0.50196,1,0,0.19165,0.04094,0.79,0.2314,-0.56776,1,0.5,0.5,1
138,38,-0.0313,0.00873,0.0556,0.51176,0.42098,0.74892,0.50196,0.50196,1,0,0.27905,0.06092,0.66749,0.35398,-0.6551,1,0.5,0.5,1
139,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
140,37,-0.03315,0.00634,0.05834,0.61846,0.13798,0.77361,0.50196,0.50196,1,0,0.24417,0.05387,0.68589,0.38565,-0.61711,1,0.5,0.49999,1
141,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
142,39,-0.06651,0.01282,0.05937,-0.54134,0.81576,0.20367,0.50196,0.50196,1,0,0.09795,0.19257,0.66918,0.56468,-0.48305,1,0.5,0.5,1
143,31,-0.06801,0.00946,0.06492,-0.42432,0.69222,0.58377,0.50196,0.50196,1,0,0.04916,0.16322,0.74627,0.63247,-0.20753,1,0.5,0.5,1
144,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
145,40,-0.05908,0.01633,0.05325,-0.12172,0.86853,0.48045,0.50196,0.50196,1,0,0.15836,0.19843,0.7394,0.40227,-0.53988,1,0.5,0.5,1
146,39,-0.06651,0.01282,0.05937,-0.54134,0.81576,0.20367,0.50196,0.50196,1,0,0.09795,0.19257,0.66918,0.56468,-0.48305,1,0.5,0.5,1
147,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
148,41,-0.05314,0.01761,0.05136,0.2727,0.28292,0.91956,0.50196,0.50196,1,0,0.20122,0.18237,0.77108,0.50734,-0.38476,1,0.5,0.5,1
149,40,-0.05908,0.01633,0.05325,-0.12172,0.86853,0.48045,0.50196,0.50196,1,0,0.15836,0.19843,0.7394,0.40227,-0.53988,1,0.5,0.5,1
150,30,-0.04609,0.00969,0.05619,0.1587,0.74255,0.65072,0.50196,0.50196,1,0,0.17485,0.13351,0.82052,0.26737,-0.50522,1,0.5,0.5,1
