VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
16, 5, -0.38505, -0.13138,  0.20568, -0.20654, -0.29446,  0.93308,  0.4158,  0.69383,  0.02221,  0.02453
17, 3, -0.38651, -0.1371,  0.19415, -0.27027, -0.95588, -0.1151,  0.41849,  0.69468,  0.02222,  0.02453
18, 0, -0.3897, -0.10654,  0.16763, -0.29754, -0.56409, -0.77024,  0.42805,  0.69385,  0.02225,  0.02453
19, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
20, 3, -0.38651, -0.1371,  0.19415, -0.27027, -0.95588, -0.1151,  0.41849,  0.69468,  0.02222,  0.02453
21, 5, -0.38505, -0.13138,  0.20568, -0.20654, -0.29446,  0.93308,  0.4158,  0.69383,  0.02221,  0.02453
22, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
23, 7, -0.35816, -0.12953,  0.20357,  0.21797, -0.24597,  0.94445,  0.4156,  0.70102,  0.02221,  0.02455
24, 8, -0.40128, -0.06405,  0.16014,  0.04559,  0.20673,  0.97734,  0.4369,  0.68768,  0.02229,  0.0245
25, 0, -0.3897, -0.10654,  0.16763, -0.29754, -0.56409, -0.77024,  0.42805,  0.69385,  0.02225,  0.02453
26, 2, -0.41162, -0.09897,  0.17461, -0.88574, -0.1894, -0.42379,  0.4277,  0.68801,  0.02225,  0.0245
27, 2, -0.41162, -0.09897,  0.17461, -0.88574, -0.1894, -0.42379,  0.4277,  0.68801,  0.02225,  0.0245
28, 9, -0.41036, -0.09304,  0.17999, -0.67409,  0.45696,  0.58034,  0.42795,  0.68618,  0.02225,  0.0245
29, 8, -0.40128, -0.06405,  0.16014,  0.04559,  0.20673,  0.97734,  0.4369,  0.68768,  0.02229,  0.0245
30, 2, -0.41162, -0.09897,  0.17461, -0.88574, -0.1894, -0.42379,  0.4277,  0.68801,  0.02225,  0.0245
31, 4, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.42049,  0.6883,  0.02222,  0.02451
32, 9, -0.41036, -0.09304,  0.17999, -0.67409,  0.45696,  0.58034,  0.42795,  0.68618,  0.02225,  0.0245
33, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
34, 0, -0.3897, -0.10654,  0.16763, -0.29754, -0.56409, -0.77024,  0.42805,  0.69385,  0.02225,  0.02453
35, 10, -0.35393, -0.11587,  0.16372,  0.08767, -0.9031, -0.42039,  0.42661,  0.7029,  0.02225,  0.02456
36, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
37, 10, -0.35393, -0.11587,  0.16372,  0.08767, -0.9031, -0.42039,  0.42661,  0.7029,  0.02225,  0.02456
38, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
39, 12, -0.32119, -0.10489,  0.1597,  0.27226, -0.72671, -0.63069,  0.42742,  0.71105,  0.02225,  0.02459
40, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
41, 10, -0.35393, -0.11587,  0.16372,  0.08767, -0.9031, -0.42039,  0.42661,  0.7029,  0.02225,  0.02456
42, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
43, 12, -0.32119, -0.10489,  0.1597,  0.27226, -0.72671, -0.63069,  0.42742,  0.71105,  0.02225,  0.02459
44, 13, -0.313, -0.11582,  0.17593,  0.63515, -0.7451, -0.2035,  0.42258,  0.71211,  0.02223,  0.0246
45, 14, -0.31521, -0.09381,  0.14946,  0.77791, -0.2788,  0.56314,  0.43072,  0.7099,  0.02226,  0.02459
46, 12, -0.32119, -0.10489,  0.1597,  0.27226, -0.72671, -0.63069,  0.42742,  0.71105,  0.02225,  0.02459
47, 10, -0.35393, -0.11587,  0.16372,  0.08767, -0.9031, -0.42039,  0.42661,  0.7029,  0.02225,  0.02456
48, 15, -0.31301, -0.11174,  0.18681,  0.65019, -0.06924,  0.75661,  0.42026,  0.71332,  0.02222,  0.0246
49, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
50, 13, -0.313, -0.11582,  0.17593,  0.63515, -0.7451, -0.2035,  0.42258,  0.71211,  0.02223,  0.0246
51, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
52, 15, -0.31301, -0.11174,  0.18681,  0.65019, -0.06924,  0.75661,  0.42026,  0.71332,  0.02222,  0.0246
53, 16, -0.33463, -0.12301,  0.19636,  0.40819, -0.20124,  0.89044,  0.41734,  0.70724,  0.02221,  0.02458
54, 16, -0.33463, -0.12301,  0.19636,  0.40819, -0.20124,  0.89044,  0.41734,  0.70724,  0.02221,  0.02458
55, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
56, 11, -0.33559, -0.12796,  0.1866,  0.35132, -0.9318, -0.0913,  0.41982,  0.7064,  0.02222,  0.02458
57, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
58, 16, -0.33463, -0.12301,  0.19636,  0.40819, -0.20124,  0.89044,  0.41734,  0.70724,  0.02221,  0.02458
59, 7, -0.35816, -0.12953,  0.20357,  0.21797, -0.24597,  0.94445,  0.4156,  0.70102,  0.02221,  0.02455
60, 13, -0.313, -0.11582,  0.17593,  0.63515, -0.7451, -0.2035,  0.42258,  0.71211,  0.02223,  0.0246
61, 17, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.42729,  0.71793,  0.02225,  0.02462
62, 15, -0.31301, -0.11174,  0.18681,  0.65019, -0.06924,  0.75661,  0.42026,  0.71332,  0.02222,  0.0246
63, 17, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.42729,  0.71793,  0.02225,  0.02462
64, 13, -0.313, -0.11582,  0.17593,  0.63515, -0.7451, -0.2035,  0.42258,  0.71211,  0.02223,  0.0246
65, 18, -0.30227, -0.09386,  0.1616,  0.89003, -0.35851, -0.28164,  0.42757,  0.71627,  0.02225,  0.02461
66, 13, -0.313, -0.11582,  0.17593,  0.63515, -0.7451, -0.2035,  0.42258,  0.71211,  0.02223,  0.0246
67, 12, -0.32119, -0.10489,  0.1597,  0.27226, -0.72671, -0.63069,  0.42742,  0.71105,  0.02225,  0.02459
68, 18, -0.30227, -0.09386,  0.1616,  0.89003, -0.35851, -0.28164,  0.42757,  0.71627,  0.02225,  0.02461
69, 14, -0.31521, -0.09381,  0.14946,  0.77791, -0.2788,  0.56314,  0.43072,  0.7099,  0.02226,  0.02459
70, 18, -0.30227, -0.09386,  0.1616,  0.89003, -0.35851, -0.28164,  0.42757,  0.71627,  0.02225,  0.02461
71, 12, -0.32119, -0.10489,  0.1597,  0.27226, -0.72671, -0.63069,  0.42742,  0.71105,  0.02225,  0.02459
72, 19, -0.30479, -0.07817,  0.15364,  0.80472, -0.00304, -0.59365,  0.43144,  0.71737,  0.02227,  0.02462
73, 17, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.42729,  0.71793,  0.02225,  0.02462
74, 18, -0.30227, -0.09386,  0.1616,  0.89003, -0.35851, -0.28164,  0.42757,  0.71627,  0.02225,  0.02461
75, 18, -0.30227, -0.09386,  0.1616,  0.89003, -0.35851, -0.28164,  0.42757,  0.71627,  0.02225,  0.02461
76, 14, -0.31521, -0.09381,  0.14946,  0.77791, -0.2788,  0.56314,  0.43072,  0.7099,  0.02226,  0.02459
77, 19, -0.30479, -0.07817,  0.15364,  0.80472, -0.00304, -0.59365,  0.43144,  0.71737,  0.02227,  0.02462
78, 14, -0.31521, -0.09381,  0.14946,  0.77791, -0.2788,  0.56314,  0.43072,  0.7099,  0.02226,  0.02459
79, 20, -0.31283, -0.06142,  0.14788,  0.90762,  0.06255,  0.4151,  0.43596,  0.71772,  0.02228,  0.02462
80, 19, -0.30479, -0.07817,  0.15364,  0.80472, -0.00304, -0.59365,  0.43144,  0.71737,  0.02227,  0.02462
81, 20, -0.31283, -0.06142,  0.14788,  0.90762,  0.06255,  0.4151,  0.43596,  0.71772,  0.02228,  0.02462
82, 21, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.43157,  0.71937,  0.02227,  0.02463
83, 19, -0.30479, -0.07817,  0.15364,  0.80472, -0.00304, -0.59365,  0.43144,  0.71737,  0.02227,  0.02462
84, 17, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.42729,  0.71793,  0.02225,  0.02462
85, 19, -0.30479, -0.07817,  0.15364,  0.80472, -0.00304, -0.59365,  0.43144,  0.71737,  0.02227,  0.02462
86, 21, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.43157,  0.71937,  0.02227,  0.02463
87, 21, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.43157,  0.71937,  0.02227,  0.02463
88, 20, -0.31283, -0.06142,  0.14788,  0.90762,  0.06255,  0.4151,  0.43596,  0.71772,  0.02228,  0.02462
89, 22, -0.31171, -0.05519,  0.15407,  0.74254,  0.16191,  0.64994,  0.43647,  0.71989,  0.02229,  0.02463
90, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
91, 24, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.20905,  0.40265,  0.02141,  0.0234
92, 25, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.1959,  0.40199,  0.02135,  0.0234
93, 24, -0.30224, -0.08818,  0.16677,  0.80451,  0.24507,  0.54102,  0.20905,  0.40265,  0.02141,  0.0234
94, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
95, 26, -0.31301, -0.11174,  0.18681,  0.65019, -0.06924,  0.75661,  0.22955,  0.4154,  0.02149,  0.02345
96, 25, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.1959,  0.40199,  0.02135,  0.0234
97, 27, -0.34116, -0.05384,  0.15525,  0.04917,  0.188,  0.98094,  0.17655,  0.42732,  0.02128,  0.02349
98, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
99, 27, -0.34116, -0.05384,  0.15525,  0.04917,  0.188,  0.98094,  0.17655,  0.42732,  0.02128,  0.02349
100, 25, -0.30355, -0.0724,  0.15997,  0.81328,  0.42081,  0.40187,  0.1959,  0.40199,  0.02135,  0.0234
101, 28, -0.31171, -0.05519,  0.15407,  0.74254,  0.16191,  0.64994,  0.18152,  0.40623,  0.0213,  0.02341
102, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
103, 29, -0.33463, -0.12301,  0.19636,  0.40819, -0.20124,  0.89044,  0.23803,  0.43208,  0.02152,  0.02351
104, 26, -0.31301, -0.11174,  0.18681,  0.65019, -0.06924,  0.75661,  0.22955,  0.4154,  0.02149,  0.02345
105, 29, -0.33463, -0.12301,  0.19636,  0.40819, -0.20124,  0.89044,  0.23803,  0.43208,  0.02152,  0.02351
106, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
107, 30, -0.35816, -0.12953,  0.20357,  0.21797, -0.24597,  0.94445,  0.242,  0.44978,  0.02153,  0.02358
108, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
109, 30, -0.35816, -0.12953,  0.20357,  0.21797, -0.24597,  0.94445,  0.242,  0.44978,  0.02153,  0.02358
110, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
111, 30, -0.35816, -0.12953,  0.20357,  0.21797, -0.24597,  0.94445,  0.242,  0.44978,  0.02153,  0.02358
112, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
113, 32, -0.38505, -0.13138,  0.20568, -0.20654, -0.29446,  0.93308,  0.24056,  0.46895,  0.02153,  0.02366
114, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
115, 33, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.22509,  0.48141,  0.02147,  0.0237
116, 32, -0.38505, -0.13138,  0.20568, -0.20654, -0.29446,  0.93308,  0.24056,  0.46895,  0.02153,  0.02366
117, 33, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.22509,  0.48141,  0.02147,  0.0237
118, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
119, 34, -0.41036, -0.09304,  0.17999, -0.67409,  0.45696,  0.58034,  0.20093,  0.48164,  0.02137,  0.0237
120, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
121, 35, -0.40128, -0.06405,  0.16014,  0.04559,  0.20673,  0.97734,  0.17721,  0.46139,  0.02128,  0.02363
122, 34, -0.41036, -0.09304,  0.17999, -0.67409,  0.45696,  0.58034,  0.20093,  0.48164,  0.02137,  0.0237
123, 35, -0.40128, -0.06405,  0.16014,  0.04559,  0.20673,  0.97734,  0.17721,  0.46139,  0.02128,  0.02363
124, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
125, 36, -0.38005, -0.06089,  0.15692,  0.08499,  0.21959,  0.97188,  0.17609,  0.44532,  0.02128,  0.02356
126, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
127, 36, -0.38005, -0.06089,  0.15692,  0.08499,  0.21959,  0.97188,  0.17609,  0.44532,  0.02128,  0.02356
128, 31, -0.38678, -0.10009,  0.18253,  0.06303,  0.57453,  0.81606,  0.20639,  0.46001,  0.0214,  0.02362
129, 36, -0.38005, -0.06089,  0.15692,  0.08499,  0.21959,  0.97188,  0.17609,  0.44532,  0.02128,  0.02356
130, 23, -0.33832, -0.08853,  0.17082,  0.05862,  0.52411,  0.84963,  0.20528,  0.42979,  0.02139,  0.0235
131, 27, -0.34116, -0.05384,  0.15525,  0.04917,  0.188,  0.98094,  0.17655,  0.42732,  0.02128,  0.02349
132, 37, -0.39192,  0.04001,  0.09177,  0.07546,  0.913,  0.40093,  0.23757,  0.15346,  0.72613,  0.60141
133, 38, -0.41134,  0.03014,  0.12633,  0.11276,  0.87157,  0.47713,  0.26428,  0.16642,  0.81166,  0.64289
134, 39, -0.38743,  0.02846,  0.1188,  0.07653,  0.89784,  0.43363,  0.25757,  0.15016,  0.79018,  0.59085
135, 38, -0.41134,  0.03014,  0.12633,  0.11276,  0.87157,  0.47713,  0.26428,  0.16642,  0.81166,  0.64289
136, 37, -0.39192,  0.04001,  0.09177,  0.07546,  0.913,  0.40093,  0.23757,  0.15346,  0.72613,  0.60141
137, 40, -0.42313,  0.04508,  0.09915,  0.13757,  0.89631,  0.42155,  0.24393,  0.17472,  0.74651,  0.66946
138, 40, -0.42313,  0.04508,  0.09915,  0.13757,  0.89631,  0.42155,  0.24393,  0.17472,  0.74651,  0.66946
139, 41, -0.44716,  0.02447,  0.13891, -0.03985,  0.75839,  0.65058,  0.27542,  0.19086,  0.84732,  0.72114
140, 38, -0.41134,  0.03014,  0.12633,  0.11276,  0.87157,  0.47713,  0.26428,  0.16642,  0.81166,  0.64289
141, 41, -0.44716,  0.02447,  0.13891, -0.03985,  0.75839,  0.65058,  0.27542,  0.19086,  0.84732,  0.72114
142, 40, -0.42313,  0.04508,  0.09915,  0.13757,  0.89631,  0.42155,  0.24393,  0.17472,  0.74651,  0.66946
143, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
144, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
145, 43, -0.49289,  0.00205,  0.15466, -0.05819,  0.68868,  0.72273,  0.2985,  0.22428,  0.9212,  0.82813
146, 41, -0.44716,  0.02447,  0.13891, -0.03985,  0.75839,  0.65058,  0.27542,  0.19086,  0.84732,  0.72114
147, 43, -0.49289,  0.00205,  0.15466, -0.05819,  0.68868,  0.72273,  0.2985,  0.22428,  0.9212,  0.82813
148, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
149, 44, -0.52215,  0.02298,  0.12808, -0.12721,  0.82829,  0.54566,  0.27224,  0.24326,  0.83713,  0.88891
150, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
151, 45, -0.53454,  0.03651,  0.09598, -0.20039,  0.91376,  0.35339,  0.24825,  0.25247,  0.76034,  0.91839
152, 44, -0.52215,  0.02298,  0.12808, -0.12721,  0.82829,  0.54566,  0.27224,  0.24326,  0.83713,  0.88891
153, 45, -0.53454,  0.03651,  0.09598, -0.20039,  0.91376,  0.35339,  0.24825,  0.25247,  0.76034,  0.91839
154, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
155, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
156, 40, -0.42313,  0.04508,  0.09915,  0.13757,  0.89631,  0.42155,  0.24393,  0.17472,  0.74651,  0.66946
157, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
158, 42, -0.46475,  0.04292,  0.11118, -0.04369,  0.86827,  0.49417,  0.25541,  0.20279,  0.78327,  0.75935
159, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
160, 47, -0.54168,  0.04932,  0.044, -0.25135,  0.94704,  0.19983,  0.20892,  0.25895,  0.63442,  0.93913
161, 45, -0.53454,  0.03651,  0.09598, -0.20039,  0.91376,  0.35339,  0.24825,  0.25247,  0.76034,  0.91839
162, 47, -0.54168,  0.04932,  0.044, -0.25135,  0.94704,  0.19983,  0.20892,  0.25895,  0.63442,  0.93913
163, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
164, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
165, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
166, 49, -0.54155,  0.05594, -0.01115, -0.27426,  0.96151,  0.01692,  0.16709,  0.26099,  0.5005,  0.94568
167, 47, -0.54168,  0.04932,  0.044, -0.25135,  0.94704,  0.19983,  0.20892,  0.25895,  0.63442,  0.93913
168, 49, -0.54155,  0.05594, -0.01115, -0.27426,  0.96151,  0.01692,  0.16709,  0.26099,  0.5005,  0.94568
169, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
170, 50, -0.47229,  0.07683, -0.00597, -0.14422,  0.9892,  0.02622,  0.16709,  0.20905,  0.5005,  0.77937
171, 51, -0.41679,  0.07029,  0.03174,  0.0763,  0.96077,  0.26664,  0.19278,  0.17142,  0.58275,  0.65891
172, 50, -0.47229,  0.07683, -0.00597, -0.14422,  0.9892,  0.02622,  0.16709,  0.20905,  0.5005,  0.77937
173, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
174, 50, -0.47229,  0.07683, -0.00597, -0.14422,  0.9892,  0.02622,  0.16709,  0.20905,  0.5005,  0.77937
175, 51, -0.41679,  0.07029,  0.03174,  0.0763,  0.96077,  0.26664,  0.19278,  0.17142,  0.58275,  0.65891
176, 52, -0.4141,  0.07694, -0.00225,  0.05415,  0.99776,  0.03921,  0.16709,  0.17062,  0.5005,  0.65636
177, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
178, 53, -0.42368,  0.05716,  0.0724,  0.1213,  0.92421,  0.36211,  0.2237,  0.1754,  0.68173,  0.67164
179, 51, -0.41679,  0.07029,  0.03174,  0.0763,  0.96077,  0.26664,  0.19278,  0.17142,  0.58275,  0.65891
180, 53, -0.42368,  0.05716,  0.0724,  0.1213,  0.92421,  0.36211,  0.2237,  0.1754,  0.68173,  0.67164
181, 48, -0.4749,  0.06889,  0.03817, -0.13549,  0.96382,  0.22957,  0.20051,  0.21132,  0.60749,  0.78664
182, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
183, 46, -0.47266,  0.05511,  0.08249, -0.093,  0.93214,  0.34996,  0.23416,  0.2087,  0.71521,  0.77827
184, 40, -0.42313,  0.04508,  0.09915,  0.13757,  0.89631,  0.42155,  0.24393,  0.17472,  0.74651,  0.66946
185, 53, -0.42368,  0.05716,  0.0724,  0.1213,  0.92421,  0.36211,  0.2237,  0.1754,  0.68173,  0.67164
186, 54, -0.38124,  0.06589,  0.03047, -0.01198,  0.95067,  0.30998,  0.19016,  0.14721,  0.57438,  0.58139
187, 52, -0.4141,  0.07694, -0.00225,  0.05415,  0.99776,  0.03921,  0.16709,  0.17062,  0.5005,  0.65636
188, 51, -0.41679,  0.07029,  0.03174,  0.0763,  0.96077,  0.26664,  0.19278,  0.17142,  0.58275,  0.65891
189, 52, -0.4141,  0.07694, -0.00225,  0.05415,  0.99776,  0.03921,  0.16709,  0.17062,  0.5005,  0.65636
190, 54, -0.38124,  0.06589,  0.03047, -0.01198,  0.95067,  0.30998,  0.19016,  0.14721,  0.57438,  0.58139
191, 55, -0.38035,  0.07415, -0.00019, -0.03135,  0.99894,  0.03379,  0.16709,  0.14743,  0.5005,  0.58212
192, 56, -0.35172,  0.06936,  0.0315, -0.21328,  0.91785,  0.33477,  0.18948,  0.12641,  0.57219,  0.51479
193, 55, -0.38035,  0.07415, -0.00019, -0.03135,  0.99894,  0.03379,  0.16709,  0.14743,  0.5005,  0.58212
194, 54, -0.38124,  0.06589,  0.03047, -0.01198,  0.95067,  0.30998,  0.19016,  0.14721,  0.57438,  0.58139
195, 54, -0.38124,  0.06589,  0.03047, -0.01198,  0.95067,  0.30998,  0.19016,  0.14721,  0.57438,  0.58139
196, 57, -0.35297,  0.05663,  0.06451, -0.16287,  0.91126,  0.37826,  0.21472,  0.12663,  0.65298,  0.51552
197, 56, -0.35172,  0.06936,  0.0315, -0.21328,  0.91785,  0.33477,  0.18948,  0.12641,  0.57219,  0.51479
198, 58, -0.31515,  0.06501,  0.06523, -0.16454,  0.91028,  0.37989,  0.21301,  0.09981,  0.64752,  0.42963
199, 56, -0.35172,  0.06936,  0.0315, -0.21328,  0.91785,  0.33477,  0.18948,  0.12641,  0.57219,  0.51479
200, 57, -0.35297,  0.05663,  0.06451, -0.16287,  0.91126,  0.37826,  0.21472,  0.12663,  0.65298,  0.51552
201, 57, -0.35297,  0.05663,  0.06451, -0.16287,  0.91126,  0.37826,  0.21472,  0.12663,  0.65298,  0.51552
202, 59, -0.31338,  0.05259,  0.09461, -0.17795,  0.8848,  0.43066,  0.23563,  0.09821,  0.71995,  0.42454
203, 58, -0.31515,  0.06501,  0.06523, -0.16454,  0.91028,  0.37989,  0.21301,  0.09981,  0.64752,  0.42963
204, 59, -0.31338,  0.05259,  0.09461, -0.17795,  0.8848,  0.43066,  0.23563,  0.09821,  0.71995,  0.42454
205, 57, -0.35297,  0.05663,  0.06451, -0.16287,  0.91126,  0.37826,  0.21472,  0.12663,  0.65298,  0.51552
206, 60, -0.35328,  0.04404,  0.09182, -0.15222,  0.89291,  0.42373,  0.2362,  0.12652,  0.72177,  0.51516
207, 60, -0.35328,  0.04404,  0.09182, -0.15222,  0.89291,  0.42373,  0.2362,  0.12652,  0.72177,  0.51516
208, 61, -0.31941,  0.03707,  0.12168, -0.14498,  0.81929,  0.55475,  0.25587,  0.10208,  0.78472,  0.43691
209, 59, -0.31338,  0.05259,  0.09461, -0.17795,  0.8848,  0.43066,  0.23563,  0.09821,  0.71995,  0.42454
210, 62, -0.29182,  0.0418,  0.12067,  0.11913,  0.75321,  0.6469,  0.25462,  0.08264,  0.78072,  0.37468
