VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
29, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
30, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
31, 12, -0.03334, -0.04895,  0.1625, -0.27808,  0.94369, -0.10228,  0.92629,  0.63055,  0.00595,  0.06067
32, 10, -0.04245, -0.05759,  0.17325, -0.66672,  0.52826,  0.51319,  0.90935,  0.63102,  0.00592,  0.06067
33, 12, -0.03334, -0.04895,  0.1625, -0.27808,  0.94369, -0.10228,  0.92629,  0.63055,  0.00595,  0.06067
34, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
35, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
36, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
37, 14, -0.02363, -0.05667,  0.15067,  0.32355,  0.56038, -0.74499,  0.93916,  0.62306,  0.00597,  0.06066
38, 12, -0.03334, -0.04895,  0.1625, -0.27808,  0.94369, -0.10228,  0.92629,  0.63055,  0.00595,  0.06067
39, 14, -0.02363, -0.05667,  0.15067,  0.32355,  0.56038, -0.74499,  0.93916,  0.62306,  0.00597,  0.06066
40, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
41, 15, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.9487,  0.6377,  0.00598,  0.06068
42, 16,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.7994,  0.658,  0.00574,  0.06071
43, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
44, 0, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.8042,  0.6402,  0.00575,  0.06069
45, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
46, 16,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.7994,  0.658,  0.00574,  0.06071
47, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
48, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
49, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
50, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
51, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
52, 15, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.9487,  0.6377,  0.00598,  0.06068
53, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
54, 15, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.9487,  0.6377,  0.00598,  0.06068
55, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
56, 19,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.9594,  0.6518,  0.006,  0.0607
57, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
58, 20,  0.0183, -0.04293,  0.18104,  0.63309, -0.14112, -0.76111,  0.9636,  0.6748,  0.00601,  0.06074
59, 19,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.9594,  0.6518,  0.006,  0.0607
60, 20,  0.0183, -0.04293,  0.18104,  0.63309, -0.14112, -0.76111,  0.9636,  0.6748,  0.00601,  0.06074
61, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
62, 21,  0.01225, -0.03346,  0.18748, -0.21618,  0.88894, -0.40379,  0.95236,  0.67961,  0.00599,  0.06075
63, 22, -0.00399, -0.04285,  0.19749, -0.23941,  0.4866,  0.83037,  0.9322,  0.6784,  0.00595,  0.06075
64, 21,  0.01225, -0.03346,  0.18748, -0.21618,  0.88894, -0.40379,  0.95236,  0.67961,  0.00599,  0.06075
65, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
66, 21,  0.01225, -0.03346,  0.18748, -0.21618,  0.88894, -0.40379,  0.95236,  0.67961,  0.00599,  0.06075
67, 22, -0.00399, -0.04285,  0.19749, -0.23941,  0.4866,  0.83037,  0.9322,  0.6784,  0.00595,  0.06075
68, 23,  0.01214, -0.0358,  0.19857, -0.19106,  0.44998,  0.87236,  0.94455,  0.68725,  0.00597,  0.06076
69, 24,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.79895,  0.67607,  0.00574,  0.06074
70, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
71, 16,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.7994,  0.658,  0.00574,  0.06071
72, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
73, 24,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.79895,  0.67607,  0.00574,  0.06074
74, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
75, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
76, 23,  0.01214, -0.0358,  0.19857, -0.19106,  0.44998,  0.87236,  0.94455,  0.68725,  0.00597,  0.06076
77, 22, -0.00399, -0.04285,  0.19749, -0.23941,  0.4866,  0.83037,  0.9322,  0.6784,  0.00595,  0.06075
78, 23,  0.01214, -0.0358,  0.19857, -0.19106,  0.44998,  0.87236,  0.94455,  0.68725,  0.00597,  0.06076
79, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
80, 27,  0.01742, -0.04412,  0.19536,  0.49901, -0.62988,  0.59518,  0.94235,  0.69355,  0.00597,  0.06077
81, 20,  0.0183, -0.04293,  0.18104,  0.63309, -0.14112, -0.76111,  0.9636,  0.6748,  0.00601,  0.06074
82, 28,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.97575,  0.6588,  0.00603,  0.06072
83, 19,  0.00252, -0.05552,  0.17005,  0.71366,  0.17439, -0.66655,  0.9594,  0.6518,  0.006,  0.0607
84, 28,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.97575,  0.6588,  0.00603,  0.06072
85, 20,  0.0183, -0.04293,  0.18104,  0.63309, -0.14112, -0.76111,  0.9636,  0.6748,  0.00601,  0.06074
86, 29,  0.01742, -0.04412,  0.19536,  0.49901, -0.62988,  0.59518,  0.9742,  0.67708,  0.00602,  0.06075
87, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
88, 22, -0.00399, -0.04285,  0.19749, -0.23941,  0.4866,  0.83037,  0.9322,  0.6784,  0.00595,  0.06075
89, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
90, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
91, 22, -0.00399, -0.04285,  0.19749, -0.23941,  0.4866,  0.83037,  0.9322,  0.6784,  0.00595,  0.06075
92, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
93, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
94, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
95, 31, -0.00683, -0.0506,  0.20579, -0.1879,  0.89391,  0.40549,  0.9206,  0.6835,  0.00594,  0.06076
96, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
97, 31, -0.00683, -0.0506,  0.20579, -0.1879,  0.89391,  0.40549,  0.9206,  0.6835,  0.00594,  0.06076
98, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
99, 31, -0.00683, -0.0506,  0.20579, -0.1879,  0.89391,  0.40549,  0.9206,  0.6835,  0.00594,  0.06076
100, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
101, 33, -0.01683, -0.0721,  0.20867, -0.81434,  0.08274,  0.55238,  0.89849,  0.67954,  0.0059,  0.06075
102, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
103, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
104, 33, -0.01683, -0.0721,  0.20867, -0.81434,  0.08274,  0.55238,  0.89849,  0.67954,  0.0059,  0.06075
105, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
106, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
107, 35, -0.02236, -0.10,  0.18936, -0.66746, -0.66853,  0.32797,  0.8719,  0.6606,  0.00586,  0.06072
108, 33, -0.01683, -0.0721,  0.20867, -0.81434,  0.08274,  0.55238,  0.89849,  0.67954,  0.0059,  0.06075
109, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
110, 31, -0.00683, -0.0506,  0.20579, -0.1879,  0.89391,  0.40549,  0.9206,  0.6835,  0.00594,  0.06076
111, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
112, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
113, 31, -0.00683, -0.0506,  0.20579, -0.1879,  0.89391,  0.40549,  0.9206,  0.6835,  0.00594,  0.06076
114, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
115, 33, -0.01683, -0.0721,  0.20867, -0.81434,  0.08274,  0.55238,  0.89849,  0.67954,  0.0059,  0.06075
116, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
117, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
118, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
119, 33, -0.01683, -0.0721,  0.20867, -0.81434,  0.08274,  0.55238,  0.89849,  0.67954,  0.0059,  0.06075
120, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
121, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
122, 35, -0.02236, -0.10,  0.18936, -0.66746, -0.66853,  0.32797,  0.8719,  0.6606,  0.00586,  0.06072
123, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
124, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
125, 39,  0.00109, -0.11156,  0.1896,  0.10837, -0.95687, -0.26941,  0.84614,  0.66932,  0.00581,  0.06073
126, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
127, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
128, 39,  0.00109, -0.11156,  0.1896,  0.10837, -0.95687, -0.26941,  0.84614,  0.66932,  0.00581,  0.06073
129, 40,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.8522,  0.7184,  0.00582,  0.06081
130, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
131, 39,  0.00109, -0.11156,  0.1896,  0.10837, -0.95687, -0.26941,  0.84614,  0.66932,  0.00581,  0.06073
132, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
133, 40,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.8522,  0.7184,  0.00582,  0.06081
134, 39,  0.00109, -0.11156,  0.1896,  0.10837, -0.95687, -0.26941,  0.84614,  0.66932,  0.00581,  0.06073
135, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
136, 40,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.8522,  0.7184,  0.00582,  0.06081
137, 41,  0.00532, -0.10977,  0.23645, -0.57526, -0.51469,  0.63575,  0.8667,  0.7186,  0.00585,  0.06081
138, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
139, 34, -0.01269, -0.10235,  0.20028, -0.71999, -0.60671,  0.30421,  0.8708,  0.672,  0.00586,  0.06074
140, 41,  0.00532, -0.10977,  0.23645, -0.57526, -0.51469,  0.63575,  0.8667,  0.7186,  0.00585,  0.06081
141, 26,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.9326,  0.6889,  0.00596,  0.06077
142, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
143, 42,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.8988,  0.72855,  0.0059,  0.06083
144, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
145, 35, -0.02236, -0.10,  0.18936, -0.66746, -0.66853,  0.32797,  0.8719,  0.6606,  0.00586,  0.06072
146, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
147, 35, -0.02236, -0.10,  0.18936, -0.66746, -0.66853,  0.32797,  0.8719,  0.6606,  0.00586,  0.06072
148, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
149, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
150, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
151, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
152, 35, -0.02236, -0.10,  0.18936, -0.66746, -0.66853,  0.32797,  0.8719,  0.6606,  0.00586,  0.06072
153, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
154, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
155, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
156, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
157, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
158, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
159, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
160, 38, -0.00919, -0.10745,  0.17558,  0.0389, -0.91863, -0.3932,  0.84544,  0.6587,  0.00581,  0.06072
161, 17,  0.00178, -0.08829,  0.16627,  0.73981, -0.28263, -0.61057,  0.828,  0.6568,  0.00579,  0.06071
162, 40,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.8522,  0.7184,  0.00582,  0.06081
163, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
164, 43,  0.01869, -0.10801,  0.23258,  0.93573, -0.1935,  0.29489,  0.8406,  0.7201,  0.00581,  0.06082
165, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
166, 44,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.81,  0.72345,  0.00576,  0.06082
167, 43,  0.01869, -0.10801,  0.23258,  0.93573, -0.1935,  0.29489,  0.8406,  0.7201,  0.00581,  0.06082
168, 44,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.81,  0.72345,  0.00576,  0.06082
169, 25,  0.01162, -0.09328,  0.18301,  0.89857, -0.22035, -0.34719,  0.8301,  0.6691,  0.00579,  0.06073
170, 24,  0.006, -0.05641,  0.19345,  0.95881, -0.06509,  0.16907,  0.79895,  0.67607,  0.00574,  0.06074
171, 42,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.8988,  0.72855,  0.0059,  0.06083
172, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
173, 45,  0.00804, -0.08003,  0.2459,  0.28422, -0.04951,  0.95748,  0.8914,  0.7257,  0.00589,  0.06082
174, 45,  0.00804, -0.08003,  0.2459,  0.28422, -0.04951,  0.95748,  0.8914,  0.7257,  0.00589,  0.06082
175, 36,  0.00634, -0.0664,  0.24398,  0.00064,  0.67177,  0.74076,  0.9024,  0.7225,  0.00591,  0.06082
176, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
177, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
178, 42,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.8988,  0.72855,  0.0059,  0.06083
179, 45,  0.00804, -0.08003,  0.2459,  0.28422, -0.04951,  0.95748,  0.8914,  0.7257,  0.00589,  0.06082
180, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
181, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
182, 41,  0.00532, -0.10977,  0.23645, -0.57526, -0.51469,  0.63575,  0.8667,  0.7186,  0.00585,  0.06081
183, 37,  0.00086, -0.08104,  0.24454, -0.62128, -0.04596,  0.78224,  0.8907,  0.7203,  0.00589,  0.06082
184, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
185, 45,  0.00804, -0.08003,  0.2459,  0.28422, -0.04951,  0.95748,  0.8914,  0.7257,  0.00589,  0.06082
186, 42,  0.01292, -0.07262,  0.24104,  0.85188,  0.2983,  0.43048,  0.8988,  0.72855,  0.0059,  0.06083
187, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
188, 47,  0.01869, -0.10801,  0.23258,  0.93573, -0.1935,  0.29489,  0.8658,  0.7296,  0.00585,  0.06083
189, 47,  0.01869, -0.10801,  0.23258,  0.93573, -0.1935,  0.29489,  0.8658,  0.7296,  0.00585,  0.06083
190, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
191, 48,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.857,  0.7225,  0.00583,  0.06082
192, 41,  0.00532, -0.10977,  0.23645, -0.57526, -0.51469,  0.63575,  0.8667,  0.7186,  0.00585,  0.06081
193, 48,  0.01357, -0.11876,  0.23138,  0.26045, -0.92484,  0.27721,  0.857,  0.7225,  0.00583,  0.06082
194, 46,  0.01229, -0.10969,  0.23784,  0.26655, -0.3702,  0.88989,  0.8673,  0.7244,  0.00585,  0.06082
195, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
196, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
197, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
198, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
199, 32, -0.02634, -0.07022,  0.19922, -0.76278,  0.08212,  0.64143,  0.90004,  0.66779,  0.0059,  0.06073
200, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
201, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
202, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
203, 11, -0.0311, -0.05388,  0.18152, -0.58296,  0.68869,  0.43112,  0.9155,  0.6496,  0.00593,  0.0607
204, 13, -0.01816, -0.0454,  0.17037, -0.09652,  0.97085, -0.21937,  0.9329,  0.6481,  0.00596,  0.0607
205, 30, -0.01435, -0.04841,  0.19687, -0.42475,  0.75124,  0.5052,  0.924,  0.6732,  0.00594,  0.06074
206, 18, -0.00439, -0.04055,  0.18235, -0.16944,  0.93032, -0.32405,  0.94302,  0.66548,  0.00597,  0.06073
207, 49,  0.02708, -0.03465,  0.18823,  0.84783,  0.07639, -0.52473,  0.9647,  0.6878,  0.00601,  0.06076
208, 21,  0.01225, -0.03346,  0.18748, -0.21618,  0.88894, -0.40379,  0.95236,  0.67961,  0.00599,  0.06075
209, 50,  0.02208, -0.02954,  0.19148,  0.0013,  0.96679, -0.25558,  0.95705,  0.68835,  0.006,  0.06076
210, 21,  0.01225, -0.03346,  0.18748, -0.21618,  0.88894, -0.40379,  0.95236,  0.67961,  0.00599,  0.06075
211, 49,  0.02708, -0.03465,  0.18823,  0.84783,  0.07639, -0.52473,  0.9647,  0.6878,  0.00601,  0.06076
