VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
55, 33,  2.05179,  0.01,  0.73611,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.89251,  0.24617
56, 34,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.98494,  0.24617
57, 35,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00004, -1.00,  0.74512,  0.32178
58, 36,  1.38792,  0.01,  0.64694,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00004, -1.00,  0.78722,  0.31833
59, 37,  1.38792,  0.01, -3.57652,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.1547
60, 35,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00004, -1.00,  0.74512,  0.32178
61, 37,  1.38792,  0.01, -3.57652,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.1547
62, 38,  1.29755,  0.01, -3.57649,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.1547
63, 38,  1.29755,  0.01, -3.57649,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.1547
64, 37,  1.38792,  0.01, -3.57652,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.1547
65, 39,  1.38792,  0.01, -4.10705,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.13414
66, 38,  1.29755,  0.01, -3.57649,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.1547
67, 39,  1.38792,  0.01, -4.10705,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.13414
68, 40,  1.29755,  0.01, -3.99961,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.1383
69, 41, -1.78516,  0.01,  3.92885,  0.00,  1.00,  0.00,  0.30921,  0.00,  0.95099, -1.00,  0.74512,  0.29081
70, 42, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00,  0.29297,  0.00,  0.95612, -1.00,  0.78722,  0.29475
71, 43,  1.39514,  0.01,  4.01723,  0.00,  1.00,  0.00, -0.23874,  0.00,  0.97108, -1.00,  0.78722,  0.16864
72, 41, -1.78516,  0.01,  3.92885,  0.00,  1.00,  0.00,  0.30921,  0.00,  0.95099, -1.00,  0.74512,  0.29081
73, 43,  1.39514,  0.01,  4.01723,  0.00,  1.00,  0.00, -0.23874,  0.00,  0.97108, -1.00,  0.78722,  0.16864
74, 44,  1.29755,  0.01,  3.92885,  0.00,  1.00,  0.00, -0.23276,  0.00,  0.97253, -1.00,  0.74512,  0.17327
75, 45, -1.78516,  0.01,  2.78066,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.78722,  0.24919
76, 46, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.74512,  0.2492
77, 47, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.74512,  0.2971
78, 45, -1.78516,  0.01,  2.78066,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.78722,  0.24919
79, 47, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.74512,  0.2971
80, 48, -1.78516,  0.01,  3.92885,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.78722,  0.29367
81, 49, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.86845,  0.00, -0.49578, -1.00,  0.78722,  0.16993
82, 46, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.74512,  0.2492
83, 45, -1.78516,  0.01,  2.78066,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.78722,  0.24919
84, 49, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.86845,  0.00, -0.49578, -1.00,  0.78722,  0.16993
85, 50, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.8721,  0.00, -0.48932, -1.00,  0.74512,  0.17214
86, 46, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.74512,  0.2492
87, 51,  1.29755,  0.01, -3.99961,  0.00,  1.00,  0.00,  0.19169,  0.00,  0.98146, -1.00,  0.78722,  0.17158
88, 52,  1.38792,  0.01, -4.10705,  0.00,  1.00,  0.00,  0.19823,  0.00,  0.98015, -1.00,  0.74512,  0.16724
89, 53, -1.85965,  0.01, -4.10705,  0.00,  1.00,  0.00, -0.24315,  0.00,  0.96999, -1.00,  0.74512,  0.29306
90, 51,  1.29755,  0.01, -3.99961,  0.00,  1.00,  0.00,  0.19169,  0.00,  0.98146, -1.00,  0.78722,  0.17158
91, 53, -1.85965,  0.01, -4.10705,  0.00,  1.00,  0.00, -0.24315,  0.00,  0.96999, -1.00,  0.74512,  0.29306
92, 54, -1.78517,  0.01, -3.99961,  0.00,  1.00,  0.00, -0.25839,  0.00,  0.96604, -1.00,  0.78722,  0.28913
93, 55, -1.78517,  0.01, -3.99961,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00001, -1.00,  0.78722,  0.16073
94, 56, -1.85965,  0.01, -4.10705,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.15657
95, 57, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.74512,  0.17711
96, 55, -1.78517,  0.01, -3.99961,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00001, -1.00,  0.78722,  0.16073
97, 57, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.74512,  0.17711
98, 58, -1.78517,  0.01, -3.57676,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.78722,  0.17711
99, 58, -1.78517,  0.01, -3.57676,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.78722,  0.17711
100, 57, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.74512,  0.17711
101, 59, -1.85965,  0.01, -1.11655,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.74512,  0.27243
102, 58, -1.78517,  0.01, -3.57676,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00003, -1.00,  0.78722,  0.17711
103, 59, -1.85965,  0.01, -1.11655,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.74512,  0.27243
104, 60, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.78722,  0.27601
105, 61,  1.29755,  0.01,  3.92885,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.25413
106, 62,  1.39514,  0.01,  4.01723,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.78722,  0.25755
107, 63,  1.39514,  0.01,  2.86195,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.78722,  0.21279
108, 61,  1.29755,  0.01,  3.92885,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.25413
109, 63,  1.39514,  0.01,  2.86195,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.78722,  0.21279
110, 64,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00002, -1.00,  0.74512,  0.20964
111, 65, -2.12284,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.18202,  0.00,  0.98329, -1.00,  0.74512,  0.20447
112, 66, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.17165,  0.00,  0.98516, -1.00,  0.78722,  0.20819
113, 67, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.22439,  0.00,  0.9745, -1.00,  0.78722,  0.19495
114, 65, -2.12284,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.18202,  0.00,  0.98329, -1.00,  0.74512,  0.20447
115, 67, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.22439,  0.00,  0.9745, -1.00,  0.78722,  0.19495
116, 68, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.23476,  0.00,  0.97205, -1.00,  0.74512,  0.19101
117, 69, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00, -0.25428,  0.00,  0.96713, -1.00,  0.78722,  0.19101
118, 70, -1.85965,  0.01, -1.11655,  0.00,  1.00,  0.00, -0.24416,  0.00,  0.96974, -1.00,  0.74512,  0.19495
119, 71, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00, -0.18636,  0.00,  0.98248, -1.00,  0.74512,  0.20819
120, 69, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00, -0.25428,  0.00,  0.96713, -1.00,  0.78722,  0.19101
121, 71, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00, -0.18636,  0.00,  0.98248, -1.00,  0.74512,  0.20819
122, 72, -2.12284,  0.01, -1.02413,  0.00,  1.00,  0.00, -0.1965,  0.00,  0.9805, -1.00,  0.78722,  0.20447
123, 73, -2.12284,  0.01, -1.02413,  0.00,  1.00,  0.00,  0.99996,  0.00, -0.00888, -1.00,  0.78722,  0.18372
124, 74, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.18014
125, 75, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.88259,  0.00, -0.47014, -1.00,  0.74512,  0.25408
126, 73, -2.12284,  0.01, -1.02413,  0.00,  1.00,  0.00,  0.99996,  0.00, -0.00888, -1.00,  0.78722,  0.18372
127, 75, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00,  0.88259,  0.00, -0.47014, -1.00,  0.74512,  0.25408
128, 76, -2.12284,  0.01,  0.69127,  0.00,  1.00,  0.00,  0.8667,  0.00, -0.49882, -1.00,  0.78722,  0.25187
129, 77,  2.05179,  0.01,  0.73611,  0.00,  1.00,  0.00,  0.3764,  0.00,  0.92646, -1.00,  0.78722,  0.18669
130, 78,  2.13112,  0.01,  0.64694,  0.00,  1.00,  0.00,  0.38337,  0.00,  0.92359, -1.00,  0.74512,  0.18218
131, 79,  1.38792,  0.01,  0.64694,  0.00,  1.00,  0.00,  0.26744,  0.00,  0.96357, -1.00,  0.74512,  0.21097
132, 77,  2.05179,  0.01,  0.73611,  0.00,  1.00,  0.00,  0.3764,  0.00,  0.92646, -1.00,  0.78722,  0.18669
133, 79,  1.38792,  0.01,  0.64694,  0.00,  1.00,  0.00,  0.26744,  0.00,  0.96357, -1.00,  0.74512,  0.21097
134, 80,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00,  0.26037,  0.00,  0.96551, -1.00,  0.78722,  0.21532
135, 81,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -0.28523,  0.00,  0.95846, -1.00,  0.74512,  0.21139
136, 82,  1.39514,  0.01,  2.86195,  0.00,  1.00,  0.00, -0.29187,  0.00,  0.95646, -1.00,  0.78722,  0.20677
137, 83,  2.13112,  0.01,  2.86195,  0.00,  1.00,  0.00, -0.41434,  0.00,  0.91012, -1.00,  0.78722,  0.17825
138, 81,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -0.28523,  0.00,  0.95846, -1.00,  0.74512,  0.21139
139, 83,  2.13112,  0.01,  2.86195,  0.00,  1.00,  0.00, -0.41434,  0.00,  0.91012, -1.00,  0.78722,  0.17825
140, 84,  2.05179,  0.01,  2.78064,  0.00,  1.00,  0.00, -0.40775,  0.00,  0.91309, -1.00,  0.74512,  0.18276
141, 85,  2.05179,  0.01,  2.78064,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.74512,  0.26816
142, 86,  2.13112,  0.01,  2.86195,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.78722,  0.27131
143, 87,  2.13112,  0.01,  0.64694,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.1855
144, 85,  2.05179,  0.01,  2.78064,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00003, -1.00,  0.74512,  0.26816
145, 87,  2.13112,  0.01,  0.64694,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.78722,  0.1855
146, 88,  2.05179,  0.01,  0.73611,  0.00,  1.00,  0.00,  1.00,  0.00, -0.00002, -1.00,  0.74512,  0.18895
147, 89, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00,  0.00393,  0.00, -0.99999, -1.00,  0.78899,  0.37822
148, 90, -1.94956,  0.01,  4.11999,  0.00,  1.00,  0.00,  0.00362,  0.00, -0.99999, -1.00,  0.74479,  0.37504
149, 91,  1.50877,  0.01,  4.11944,  0.00,  1.00,  0.00, -0.00478,  0.00, -0.99999, -1.00,  0.74479,  0.4981
150, 89, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00,  0.00393,  0.00, -0.99999, -1.00,  0.78899,  0.37822
151, 91,  1.50877,  0.01,  4.11944,  0.00,  1.00,  0.00, -0.00478,  0.00, -0.99999, -1.00,  0.74479,  0.4981
152, 92,  1.39514,  0.01,  4.01723,  0.00,  1.00,  0.00, -0.00467,  0.00, -0.99999, -1.00,  0.78899,  0.49407
153, 93, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.42135
154, 94, -1.94956,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.42135
155, 95, -1.94956,  0.01,  4.11999,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.78899,  0.3739
156, 93, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.42135
157, 95, -1.94956,  0.01,  4.11999,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.78899,  0.3739
158, 96, -1.85964,  0.01,  4.01723,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.74479,  0.37754
159, 97, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.49182
160, 94, -1.94956,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.42135
161, 93, -1.85964,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.42135
162, 97, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.49182
163, 98, -1.94956,  0.01,  0.86828,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.48911
164, 94, -1.94956,  0.01,  2.78085,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.42135
165, 99, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.45808
166, 100, -2.29595,  0.01, -1.19608,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.4609
167, 101, -2.29595,  0.01,  0.8684,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00003, -1.00,  0.78899,  0.38775
168, 99, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.45808
169, 101, -2.29595,  0.01,  0.8684,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00003, -1.00,  0.78899,  0.38775
170, 102, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00004, -1.00,  0.74479,  0.39046
171, 103, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00, -0.05522,  0.00, -0.99847, -1.00,  0.78899,  0.41117
172, 104, -2.29595,  0.01,  0.8684,  0.00,  1.00,  0.00, -0.05545,  0.00, -0.99846, -1.00,  0.74479,  0.40782
173, 105, -1.94956,  0.01,  0.86828,  0.00,  1.00,  0.00, -0.05375,  0.00, -0.99855, -1.00,  0.74479,  0.41956
174, 103, -2.20129,  0.01,  0.79188,  0.00,  1.00,  0.00, -0.05522,  0.00, -0.99847, -1.00,  0.78899,  0.41117
175, 105, -1.94956,  0.01,  0.86828,  0.00,  1.00,  0.00, -0.05375,  0.00, -0.99855, -1.00,  0.74479,  0.41956
176, 106, -1.85965,  0.01,  0.79188,  0.00,  1.00,  0.00, -0.05351,  0.00, -0.99857, -1.00,  0.78899,  0.42275
177, 107, -1.85965,  0.01, -1.11655,  0.00,  1.00,  0.00,  0.05585,  0.00, -0.99844, -1.00,  0.74479,  0.4183
178, 108, -1.95295,  0.01, -1.19251,  0.00,  1.00,  0.00,  0.05569,  0.00, -0.99845, -1.00,  0.78899,  0.41499
179, 109, -2.29595,  0.01, -1.19608,  0.00,  1.00,  0.00,  0.05461,  0.00, -0.99851, -1.00,  0.78899,  0.40336
180, 107, -1.85965,  0.01, -1.11655,  0.00,  1.00,  0.00,  0.05585,  0.00, -0.99844, -1.00,  0.74479,  0.4183
181, 109, -2.29595,  0.01, -1.19608,  0.00,  1.00,  0.00,  0.05461,  0.00, -0.99851, -1.00,  0.78899,  0.40336
182, 110, -2.20129,  0.01, -1.11655,  0.00,  1.00,  0.00,  0.05476,  0.00, -0.9985, -1.00,  0.74479,  0.40672
183, 111, -1.85965,  0.01, -4.10705,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.74479,  0.50447
184, 112, -1.95309,  0.01, -4.23198,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.78899,  0.5089
185, 113, -1.95302,  0.01, -3.57682,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.48569
186, 111, -1.85965,  0.01, -4.10705,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00003, -1.00,  0.74479,  0.50447
187, 113, -1.95302,  0.01, -3.57682,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.48569
188, 114, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.48569
189, 114, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.48569
190, 113, -1.95302,  0.01, -3.57682,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.48569
191, 115, -1.95295,  0.01, -1.19251,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.78899,  0.40121
192, 114, -1.85965,  0.01, -3.57679,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.74479,  0.48569
