VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z
68, 68, -0.25115, -0.96795,  0.00
69, 69, -0.52573, -0.85065,  0.00
70, 70, -0.45138, -0.88285,  0.12973
71, 71, -0.38967, -0.92095,  0.00
72, 72, -0.64946, -0.7604,  0.00
73, 73, -0.58778, -0.79855,  0.12973
74, 74, -0.52573, -0.85065,  0.00
75, 75, -0.75344, -0.65751,  0.00
76, 76, -0.70626, -0.69656,  0.12652
77, 77, -0.64946, -0.7604,  0.00
78, 78, -0.83472, -0.55068,  0.00
79, 79, -0.80102, -0.58633,  0.12075
80, 80, -0.75344, -0.65751,  0.00
81, 81, -0.11925, -0.99287,  0.00
82, 82, -0.1662, -0.97867,  0.12075
83, 83, -0.03685, -0.99287,  0.11341
84, 84, -0.1662, -0.97867,  0.12075
85, 85, -0.07761, -0.96795,  0.23885
86, 86, -0.03685, -0.99287,  0.11341
87, 87, -0.25115, -0.96795,  0.00
88, 88, -0.30717, -0.94321,  0.12652
89, 89, -0.1662, -0.97867,  0.12075
90, 90, -0.30717, -0.94321,  0.12652
91, 91, -0.21524, -0.94321,  0.25304
92, 92, -0.1662, -0.97867,  0.12075
93, 93, -0.1662, -0.97867,  0.12075
94, 94, -0.21524, -0.94321,  0.25304
95, 95, -0.07761, -0.96795,  0.23885
96, 96, -0.21524, -0.94321,  0.25304
97, 97, -0.12041, -0.92096,  0.3706
98, 98, -0.07761, -0.96795,  0.23885
99, 99, -0.38967, -0.92095,  0.00
100, 100, -0.45138, -0.88285,  0.12973
101, 101, -0.30717, -0.94321,  0.12652
102, 102, -0.45138, -0.88285,  0.12973
103, 103, -0.3618, -0.89443,  0.26286
104, 104, -0.30717, -0.94321,  0.12652
105, 105, -0.30717, -0.94321,  0.12652
106, 106, -0.3618, -0.89443,  0.26286
107, 107, -0.21524, -0.94321,  0.25304
108, 108, -0.3618, -0.89443,  0.26286
109, 109, -0.26286, -0.88285,  0.38919
110, 110, -0.21524, -0.94321,  0.25304
111, 111, -0.21524, -0.94321,  0.25304
112, 112, -0.26286, -0.88285,  0.38919
113, 113, -0.12041, -0.92096,  0.3706
114, 114, -0.26286, -0.88285,  0.38919
115, 115, -0.16246, -0.85065,  0.49999
116, 116, -0.12041, -0.92096,  0.3706
117, 117, -0.52573, -0.85065,  0.00
118, 118, -0.58778, -0.79855,  0.12973
119, 119, -0.45138, -0.88285,  0.12973
120, 120, -0.58778, -0.79855,  0.12973
121, 121, -0.50673, -0.81991,  0.2664
122, 122, -0.45138, -0.88285,  0.12973
123, 123, -0.45138, -0.88285,  0.12973
124, 124, -0.50673, -0.81991,  0.2664
125, 125, -0.3618, -0.89443,  0.26286
126, 126, -0.50673, -0.81991,  0.2664
127, 127, -0.40995, -0.81991,  0.3996
128, 128, -0.3618, -0.89443,  0.26286
129, 129, -0.3618, -0.89443,  0.26286
130, 130, -0.40995, -0.81991,  0.3996
131, 131, -0.26286, -0.88285,  0.38919
132, 132, -0.40995, -0.81991,  0.3996
133, 133, -0.30501, -0.79855,  0.51892
134, 134, -0.26286, -0.88285,  0.38919
135, 135, -0.26286, -0.88285,  0.38919
136, 136, -0.30501, -0.79855,  0.51892
137, 137, -0.16246, -0.85065,  0.49999
138, 138, -0.30501, -0.79855,  0.51892
139, 139, -0.20069, -0.7604,  0.61767
140, 140, -0.16246, -0.85065,  0.49999
141, 141, -0.64946, -0.7604,  0.00
142, 142, -0.70626, -0.69656,  0.12652
143, 143, -0.58778, -0.79855,  0.12973
144, 144, -0.70626, -0.69656,  0.12652
145, 145, -0.63819, -0.72361,  0.26286
146, 146, -0.58778, -0.79855,  0.12973
147, 147, -0.58778, -0.79855,  0.12973
148, 148, -0.63819, -0.72361,  0.26286
149, 149, -0.50673, -0.81991,  0.2664
150, 150, -0.63819, -0.72361,  0.26286
151, 151, -0.55001, -0.73335,  0.39961
152, 152, -0.50673, -0.81991,  0.2664
153, 153, -0.50673, -0.81991,  0.2664
154, 154, -0.55001, -0.73335,  0.39961
155, 155, -0.40995, -0.81991,  0.3996
156, 156, -0.55001, -0.73335,  0.39961
157, 157, -0.44721, -0.72361,  0.52573
158, 158, -0.40995, -0.81991,  0.3996
159, 159, -0.40995, -0.81991,  0.3996
160, 160, -0.44721, -0.72361,  0.52573
161, 161, -0.30501, -0.79855,  0.51892
162, 162, -0.44721, -0.72361,  0.52573
163, 163, -0.33857, -0.69656,  0.63259
164, 164, -0.30501, -0.79855,  0.51892
165, 165, -0.30501, -0.79855,  0.51892
166, 166, -0.33857, -0.69656,  0.63259
167, 167, -0.20069, -0.7604,  0.61767
168, 168, -0.33857, -0.69656,  0.63259
169, 169, -0.23282, -0.65752,  0.71656
170, 170, -0.20069, -0.7604,  0.61767
171, 171, -0.75344, -0.65751,  0.00
172, 172, -0.80102, -0.58633,  0.12075
173, 173, -0.70626, -0.69656,  0.12652
174, 174, -0.80102, -0.58633,  0.12075
175, 175, -0.74737, -0.61434,  0.25304
176, 176, -0.70626, -0.69656,  0.12652
177, 177, -0.70626, -0.69656,  0.12652
178, 178, -0.74737, -0.61434,  0.25304
179, 179, -0.63819, -0.72361,  0.26286
180, 180, -0.74737, -0.61434,  0.25304
181, 181, -0.67209, -0.62994,  0.38919
182, 182, -0.63819, -0.72361,  0.26286
183, 183, -0.63819, -0.72361,  0.26286
184, 184, -0.67209, -0.62994,  0.38919
185, 185, -0.55001, -0.73335,  0.39961
186, 186, -0.67209, -0.62994,  0.38919
187, 187, -0.57783, -0.62994,  0.51893
188, 188, -0.55001, -0.73335,  0.39961
189, 189, -0.55001, -0.73335,  0.39961
190, 190, -0.57783, -0.62994,  0.51893
191, 191, -0.44721, -0.72361,  0.52573
192, 192, -0.57783, -0.62994,  0.51893
193, 193, -0.4716, -0.61434,  0.63259
194, 194, -0.44721, -0.72361,  0.52573
195, 195, -0.44721, -0.72361,  0.52573
196, 196, -0.4716, -0.61434,  0.63259
197, 197, -0.33857, -0.69656,  0.63259
198, 198, -0.4716, -0.61434,  0.63259
199, 199, -0.36237, -0.58633,  0.7245
200, 200, -0.33857, -0.69656,  0.63259
201, 201, -0.33857, -0.69656,  0.63259
202, 202, -0.36237, -0.58633,  0.7245
203, 203, -0.23282, -0.65752,  0.71656
204, 204, -0.36237, -0.58633,  0.7245
205, 205, -0.25794, -0.55068,  0.79386
206, 206, -0.23282, -0.65752,  0.71656
207, 207, -0.83472, -0.55068,  0.00
208, 208, -0.87156, -0.47698,  0.11341
209, 209, -0.80102, -0.58633,  0.12075
210, 210, -0.87156, -0.47698,  0.11341
211, 211, -0.83105, -0.5023,  0.23885
212, 212, -0.80102, -0.58633,  0.12075
213, 213, -0.80102, -0.58633,  0.12075
214, 214, -0.83105, -0.5023,  0.23885
215, 215, -0.74737, -0.61434,  0.25304
216, 216, -0.83105, -0.5023,  0.23885
217, 217, -0.76987, -0.51957,  0.3706
218, 218, -0.74737, -0.61434,  0.25304
219, 219, -0.74737, -0.61434,  0.25304
220, 220, -0.76987, -0.51957,  0.3706
221, 221, -0.67209, -0.62994,  0.38919
222, 222, -0.76987, -0.51957,  0.3706
223, 223, -0.68819, -0.52574,  0.50
224, 224, -0.67209, -0.62994,  0.38919
225, 225, -0.67209, -0.62994,  0.38919
226, 226, -0.68819, -0.52574,  0.50
227, 227, -0.57783, -0.62994,  0.51893
228, 228, -0.68819, -0.52574,  0.50
229, 229, -0.59037, -0.51957,  0.61767
230, 230, -0.57783, -0.62994,  0.51893
231, 231, -0.57783, -0.62994,  0.51893
232, 232, -0.59037, -0.51957,  0.61767
233, 233, -0.4716, -0.61434,  0.63259
234, 234, -0.59037, -0.51957,  0.61767
235, 235, -0.48397, -0.5023,  0.71657
236, 236, -0.4716, -0.61434,  0.63259
237, 237, -0.4716, -0.61434,  0.63259
238, 238, -0.48397, -0.5023,  0.71657
239, 239, -0.36237, -0.58633,  0.7245
240, 240, -0.48397, -0.5023,  0.71657
241, 241, -0.37718, -0.47699,  0.79386
242, 242, -0.36237, -0.58633,  0.7245
243, 243, -0.36237, -0.58633,  0.7245
244, 244, -0.37718, -0.47699,  0.79386
245, 245, -0.25794, -0.55068,  0.79386
246, 246, -0.37718, -0.47699,  0.79386
247, 247, -0.27639, -0.44722,  0.85065
248, 248, -0.25794, -0.55068,  0.79386
249, 249, -0.03685, -0.99287,  0.11341
250, 250,  0.09647, -0.99287,  0.07009
251, 251,  0.00, -1.00,  0.00
252, 252, -0.07761, -0.96795,  0.23885
253, 253,  0.06348, -0.97867,  0.19538
254, 254, -0.03685, -0.99287,  0.11341
255, 255, -0.12041, -0.92096,  0.3706
256, 256,  0.02541, -0.94321,  0.33123
257, 257, -0.07761, -0.96795,  0.23885
258, 258, -0.16246, -0.85065,  0.49999
259, 259, -0.0161, -0.88285,  0.46937
260, 260, -0.12041, -0.92096,  0.3706
261, 261, -0.20069, -0.7604,  0.61767
262, 262, -0.05825, -0.79855,  0.5991
263, 263, -0.16246, -0.85065,  0.49999
264, 264, -0.23282, -0.65752,  0.71656
265, 265, -0.09792, -0.69656,  0.71078
266, 266, -0.20069, -0.7604,  0.61767
267, 267, -0.25794, -0.55068,  0.79386
268, 268, -0.13268, -0.58634,  0.79913
269, 269, -0.23282, -0.65752,  0.71656
270, 270, -0.03685, -0.99287,  0.11341
271, 271,  0.06348, -0.97867,  0.19538
272, 272,  0.09647, -0.99287,  0.07009
273, 273,  0.06348, -0.97867,  0.19538
274, 274,  0.20318, -0.96795,  0.14762
275, 275,  0.09647, -0.99287,  0.07009
276, 276, -0.07761, -0.96795,  0.23885
277, 277,  0.02541, -0.94321,  0.33123
278, 278,  0.06348, -0.97867,  0.19538
279, 279,  0.02541, -0.94321,  0.33123
280, 280,  0.17414, -0.94321,  0.2829
281, 281,  0.06348, -0.97867,  0.19538
282, 282,  0.06348, -0.97867,  0.19538
283, 283,  0.17414, -0.94321,  0.2829
284, 284,  0.20318, -0.96795,  0.14762
285, 285,  0.17414, -0.94321,  0.2829
286, 286,  0.31525, -0.92096,  0.22904
287, 287,  0.20318, -0.96795,  0.14762
288, 288, -0.12041, -0.92096,  0.3706
289, 289, -0.0161, -0.88285,  0.46937
290, 290,  0.02541, -0.94321,  0.33123
291, 291, -0.0161, -0.88285,  0.46937
292, 292,  0.1382, -0.89443,  0.42532
293, 293,  0.02541, -0.94321,  0.33123
294, 294,  0.02541, -0.94321,  0.33123
295, 295,  0.1382, -0.89443,  0.42532
296, 296,  0.17414, -0.94321,  0.2829
297, 297,  0.1382, -0.89443,  0.42532
298, 298,  0.28892, -0.88285,  0.37026
299, 299,  0.17414, -0.94321,  0.2829
300, 300,  0.17414, -0.94321,  0.2829
301, 301,  0.28892, -0.88285,  0.37026
302, 302,  0.31525, -0.92096,  0.22904
303, 303,  0.28892, -0.88285,  0.37026
304, 304,  0.42532, -0.85065,  0.30901
305, 305,  0.31525, -0.92096,  0.22904
306, 306, -0.16246, -0.85065,  0.49999
307, 307, -0.05825, -0.79855,  0.5991
308, 308, -0.0161, -0.88285,  0.46937
309, 309, -0.05825, -0.79855,  0.5991
310, 310,  0.09678, -0.81991,  0.56425
311, 311, -0.0161, -0.88285,  0.46937
312, 312, -0.0161, -0.88285,  0.46937
313, 313,  0.09678, -0.81991,  0.56425
314, 314,  0.1382, -0.89443,  0.42532
315, 315,  0.09678, -0.81991,  0.56425
316, 316,  0.25337, -0.81991,  0.51337
317, 317,  0.1382, -0.89443,  0.42532
318, 318,  0.1382, -0.89443,  0.42532
319, 319,  0.25337, -0.81991,  0.51337
320, 320,  0.28892, -0.88285,  0.37026
321, 321,  0.25337, -0.81991,  0.51337
322, 322,  0.39927, -0.79855,  0.45044
323, 323,  0.28892, -0.88285,  0.37026
324, 324,  0.28892, -0.88285,  0.37026
325, 325,  0.39927, -0.79855,  0.45044
326, 326,  0.42532, -0.85065,  0.30901
327, 327,  0.39927, -0.79855,  0.45044
328, 328,  0.52542, -0.7604,  0.38173
329, 329,  0.42532, -0.85065,  0.30901
330, 330, -0.20069, -0.7604,  0.61767
331, 331, -0.09792, -0.69656,  0.71078
332, 332, -0.05825, -0.79855,  0.5991
333, 333, -0.09792, -0.69656,  0.71078
334, 334,  0.05279, -0.72361,  0.68818
335, 335, -0.05825, -0.79855,  0.5991
336, 336, -0.05825, -0.79855,  0.5991
337, 337,  0.05279, -0.72361,  0.68818
338, 338,  0.09678, -0.81991,  0.56425
339, 339,  0.05279, -0.72361,  0.68818
340, 340,  0.21009, -0.73335,  0.64657
341, 341,  0.09678, -0.81991,  0.56425
342, 342,  0.09678, -0.81991,  0.56425
343, 343,  0.21009, -0.73335,  0.64657
344, 344,  0.25337, -0.81991,  0.51337
345, 345,  0.21009, -0.73335,  0.64657
346, 346,  0.3618, -0.72361,  0.58778
347, 347,  0.25337, -0.81991,  0.51337
348, 348,  0.25337, -0.81991,  0.51337
349, 349,  0.3618, -0.72361,  0.58778
350, 350,  0.39927, -0.79855,  0.45044
351, 351,  0.3618, -0.72361,  0.58778
352, 352,  0.49701, -0.69656,  0.51748
353, 353,  0.39927, -0.79855,  0.45044
354, 354,  0.39927, -0.79855,  0.45044
355, 355,  0.49701, -0.69656,  0.51748
356, 356,  0.52542, -0.7604,  0.38173
357, 357,  0.49701, -0.69656,  0.51748
358, 358,  0.60955, -0.65752,  0.44286
359, 359,  0.52542, -0.7604,  0.38173
360, 360, -0.23282, -0.65752,  0.71656
361, 361, -0.13268, -0.58634,  0.79913
362, 362, -0.09792, -0.69656,  0.71078
363, 363, -0.13268, -0.58634,  0.79913
364, 364,  0.00971, -0.61435,  0.78898
365, 365, -0.09792, -0.69656,  0.71078
366, 366, -0.09792, -0.69656,  0.71078
367, 367,  0.00971, -0.61435,  0.78898
368, 368,  0.05279, -0.72361,  0.68818
369, 369,  0.00971, -0.61435,  0.78898
370, 370,  0.16246, -0.62994,  0.75946
371, 371,  0.05279, -0.72361,  0.68818
372, 372,  0.05279, -0.72361,  0.68818
373, 373,  0.16246, -0.62994,  0.75946
374, 374,  0.21009, -0.73335,  0.64657
375, 375,  0.16246, -0.62994,  0.75946
376, 376,  0.31497, -0.62994,  0.7099
377, 377,  0.21009, -0.73335,  0.64657
378, 378,  0.21009, -0.73335,  0.64657
379, 379,  0.31497, -0.62994,  0.7099
380, 380,  0.3618, -0.72361,  0.58778
381, 381,  0.31497, -0.62994,  0.7099
382, 382,  0.4559, -0.61434,  0.644
383, 383,  0.3618, -0.72361,  0.58778
384, 384,  0.3618, -0.72361,  0.58778
385, 385,  0.4559, -0.61434,  0.644
386, 386,  0.49701, -0.69656,  0.51748
387, 387,  0.4559, -0.61434,  0.644
388, 388,  0.57707, -0.58633,  0.56851
389, 389,  0.49701, -0.69656,  0.51748
390, 390,  0.49701, -0.69656,  0.51748
391, 391,  0.57707, -0.58633,  0.56851
392, 392,  0.60955, -0.65752,  0.44286
393, 393,  0.57707, -0.58633,  0.56851
394, 394,  0.6753, -0.55068,  0.49063
395, 395,  0.60955, -0.65752,  0.44286
396, 396, -0.25794, -0.55068,  0.79386
397, 397, -0.16147, -0.47699,  0.86395
398, 398, -0.13268, -0.58634,  0.79913
399, 399, -0.16147, -0.47699,  0.86395
400, 400, -0.02964, -0.5023,  0.86418
401, 401, -0.13268, -0.58634,  0.79913
402, 402, -0.13268, -0.58634,  0.79913
403, 403, -0.02964, -0.5023,  0.86418
404, 404,  0.00971, -0.61435,  0.78898
405, 405, -0.02964, -0.5023,  0.86418
406, 406,  0.11456, -0.51957,  0.84671
407, 407,  0.00971, -0.61435,  0.78898
408, 408,  0.00971, -0.61435,  0.78898
409, 409,  0.11456, -0.51957,  0.84671
410, 410,  0.16246, -0.62994,  0.75946
411, 411,  0.11456, -0.51957,  0.84671
412, 412,  0.26287, -0.52574,  0.80901
413, 413,  0.16246, -0.62994,  0.75946
414, 414,  0.16246, -0.62994,  0.75946
415, 415,  0.26287, -0.52574,  0.80901
416, 416,  0.31497, -0.62994,  0.7099
417, 417,  0.26287, -0.52574,  0.80901
418, 418,  0.40501, -0.51957,  0.75234
419, 419,  0.31497, -0.62994,  0.7099
420, 420,  0.31497, -0.62994,  0.7099
421, 421,  0.40501, -0.51957,  0.75234
422, 422,  0.4559, -0.61434,  0.644
423, 423,  0.40501, -0.51957,  0.75234
424, 424,  0.53194, -0.5023,  0.68171
425, 425,  0.4559, -0.61434,  0.644
426, 426,  0.4559, -0.61434,  0.644
427, 427,  0.53194, -0.5023,  0.68171
428, 428,  0.57707, -0.58633,  0.56851
429, 429,  0.53194, -0.5023,  0.68171
430, 430,  0.63845, -0.47699,  0.60404
431, 431,  0.57707, -0.58633,  0.56851
432, 432,  0.57707, -0.58633,  0.56851
433, 433,  0.63845, -0.47699,  0.60404
434, 434,  0.6753, -0.55068,  0.49063
435, 435,  0.63845, -0.47699,  0.60404
436, 436,  0.72361, -0.44722,  0.52573
437, 437,  0.6753, -0.55068,  0.49063
438, 438,  0.09647, -0.99287,  0.07009
439, 439,  0.09647, -0.99287, -0.07009
440, 440,  0.00, -1.00,  0.00
441, 441,  0.20318, -0.96795,  0.14762
442, 442,  0.20543, -0.97867,  0.00
443, 443,  0.09647, -0.99287,  0.07009
444, 444,  0.31525, -0.92096,  0.22904
445, 445,  0.32287, -0.94321,  0.07819
446, 446,  0.20318, -0.96795,  0.14762
447, 447,  0.42532, -0.85065,  0.30901
448, 448,  0.44142, -0.88285,  0.16035
449, 449,  0.31525, -0.92096,  0.22904
450, 450,  0.52542, -0.7604,  0.38173
451, 451,  0.55178, -0.79855,  0.24053
452, 452,  0.42532, -0.85065,  0.30901
453, 453,  0.60955, -0.65752,  0.44286
454, 454,  0.64574, -0.69656,  0.31277
455, 455,  0.52542, -0.7604,  0.38173
456, 456,  0.6753, -0.55068,  0.49063
457, 457,  0.71902, -0.58633,  0.37314
458, 458,  0.60955, -0.65752,  0.44286
459, 459,  0.09647, -0.99287,  0.07009
460, 460,  0.20543, -0.97867,  0.00
461, 461,  0.09647, -0.99287, -0.07009
462, 462,  0.20543, -0.97867,  0.00
463, 463,  0.20318, -0.96795, -0.14762
464, 464,  0.09647, -0.99287, -0.07009
465, 465,  0.20318, -0.96795,  0.14762
466, 466,  0.32287, -0.94321,  0.07819
467, 467,  0.20543, -0.97867,  0.00
468, 468,  0.32287, -0.94321,  0.07819
469, 469,  0.32287, -0.94321, -0.07819
470, 470,  0.20543, -0.97867,  0.00
471, 471,  0.20543, -0.97867,  0.00
472, 472,  0.32287, -0.94321, -0.07819
473, 473,  0.20318, -0.96795, -0.14762
474, 474,  0.32287, -0.94321, -0.07819
475, 475,  0.31525, -0.92096, -0.22904
476, 476,  0.20318, -0.96795, -0.14762
477, 477,  0.31525, -0.92096,  0.22904
478, 478,  0.44142, -0.88285,  0.16035
479, 479,  0.32287, -0.94321,  0.07819
480, 480,  0.44142, -0.88285,  0.16035
481, 481,  0.44721, -0.89443,  0.00
482, 482,  0.32287, -0.94321,  0.07819
483, 483,  0.32287, -0.94321,  0.07819
484, 484,  0.44721, -0.89443,  0.00
485, 485,  0.32287, -0.94321, -0.07819
486, 486,  0.44721, -0.89443,  0.00
487, 487,  0.44142, -0.88285, -0.16035
488, 488,  0.32287, -0.94321, -0.07819
489, 489,  0.32287, -0.94321, -0.07819
490, 490,  0.44142, -0.88285, -0.16035
491, 491,  0.31525, -0.92096, -0.22904
492, 492,  0.44142, -0.88285, -0.16035
493, 493,  0.42532, -0.85065, -0.30901
494, 494,  0.31525, -0.92096, -0.22904
495, 495,  0.42532, -0.85065,  0.30901
496, 496,  0.55178, -0.79855,  0.24053
497, 497,  0.44142, -0.88285,  0.16035
498, 498,  0.55178, -0.79855,  0.24053
499, 499,  0.56654, -0.81991,  0.08232
500, 500,  0.44142, -0.88285,  0.16035
501, 501,  0.44142, -0.88285,  0.16035
502, 502,  0.56654, -0.81991,  0.08232
503, 503,  0.44721, -0.89443,  0.00
504, 504,  0.56654, -0.81991,  0.08232
505, 505,  0.56654, -0.81991, -0.08232
506, 506,  0.44721, -0.89443,  0.00
507, 507,  0.44721, -0.89443,  0.00
508, 508,  0.56654, -0.81991, -0.08232
509, 509,  0.44142, -0.88285, -0.16035
510, 510,  0.56654, -0.81991, -0.08232
511, 511,  0.55178, -0.79855, -0.24053
512, 512,  0.44142, -0.88285, -0.16035
513, 513,  0.44142, -0.88285, -0.16035
514, 514,  0.55178, -0.79855, -0.24053
515, 515,  0.42532, -0.85065, -0.30901
516, 516,  0.55178, -0.79855, -0.24053
517, 517,  0.52542, -0.7604, -0.38173
518, 518,  0.42532, -0.85065, -0.30901
519, 519,  0.52542, -0.7604,  0.38173
520, 520,  0.64574, -0.69656,  0.31277
521, 521,  0.55178, -0.79855,  0.24053
522, 522,  0.64574, -0.69656,  0.31277
523, 523,  0.67082, -0.72361,  0.16246
524, 524,  0.55178, -0.79855,  0.24053
525, 525,  0.55178, -0.79855,  0.24053
526, 526,  0.67082, -0.72361,  0.16246
527, 527,  0.56654, -0.81991,  0.08232
528, 528,  0.67082, -0.72361,  0.16246
529, 529,  0.67985, -0.73335,  0.00
530, 530,  0.56654, -0.81991,  0.08232
531, 531,  0.56654, -0.81991,  0.08232
532, 532,  0.67985, -0.73335,  0.00
533, 533,  0.56654, -0.81991, -0.08232
534, 534,  0.67985, -0.73335,  0.00
535, 535,  0.67082, -0.72361, -0.16246
536, 536,  0.56654, -0.81991, -0.08232
537, 537,  0.56654, -0.81991, -0.08232
538, 538,  0.67082, -0.72361, -0.16246
539, 539,  0.55178, -0.79855, -0.24053
540, 540,  0.67082, -0.72361, -0.16246
541, 541,  0.64574, -0.69656, -0.31277
542, 542,  0.55178, -0.79855, -0.24053
543, 543,  0.55178, -0.79855, -0.24053
544, 544,  0.64574, -0.69656, -0.31277
545, 545,  0.52542, -0.7604, -0.38173
546, 546,  0.64574, -0.69656, -0.31277
547, 547,  0.60955, -0.65752, -0.44286
548, 548,  0.52542, -0.7604, -0.38173
549, 549,  0.60955, -0.65752,  0.44286
550, 550,  0.71902, -0.58633,  0.37314
551, 551,  0.64574, -0.69656,  0.31277
552, 552,  0.71902, -0.58633,  0.37314
553, 553,  0.75336, -0.61434,  0.23458
554, 554,  0.64574, -0.69656,  0.31277
555, 555,  0.64574, -0.69656,  0.31277
556, 556,  0.75336, -0.61434,  0.23458
557, 557,  0.67082, -0.72361,  0.16246
558, 558,  0.75336, -0.61434,  0.23458
559, 559,  0.77249, -0.62994,  0.08018
560, 560,  0.67082, -0.72361,  0.16246
561, 561,  0.67082, -0.72361,  0.16246
562, 562,  0.77249, -0.62994,  0.08018
563, 563,  0.67985, -0.73335,  0.00
564, 564,  0.77249, -0.62994,  0.08018
565, 565,  0.77249, -0.62994, -0.08018
566, 566,  0.67985, -0.73335,  0.00
567, 567,  0.67985, -0.73335,  0.00
568, 568,  0.77249, -0.62994, -0.08018
569, 569,  0.67082, -0.72361, -0.16246
570, 570,  0.77249, -0.62994, -0.08018
571, 571,  0.75336, -0.61434, -0.23458
572, 572,  0.67082, -0.72361, -0.16246
573, 573,  0.67082, -0.72361, -0.16246
574, 574,  0.75336, -0.61434, -0.23458
575, 575,  0.64574, -0.69656, -0.31277
576, 576,  0.75336, -0.61434, -0.23458
577, 577,  0.71902, -0.58633, -0.37314
578, 578,  0.64574, -0.69656, -0.31277
579, 579,  0.64574, -0.69656, -0.31277
580, 580,  0.71902, -0.58633, -0.37314
581, 581,  0.60955, -0.65752, -0.44286
582, 582,  0.71902, -0.58633, -0.37314
583, 583,  0.6753, -0.55068, -0.49063
584, 584,  0.60955, -0.65752, -0.44286
585, 585,  0.6753, -0.55068,  0.49063
586, 586,  0.77177, -0.47699,  0.42054
587, 587,  0.71902, -0.58633,  0.37314
588, 588,  0.77177, -0.47699,  0.42054
589, 589,  0.81273, -0.5023,  0.29524
590, 590,  0.71902, -0.58633,  0.37314
591, 591,  0.71902, -0.58633,  0.37314
592, 592,  0.81273, -0.5023,  0.29524
593, 593,  0.75336, -0.61434,  0.23458
594, 594,  0.81273, -0.5023,  0.29524
595, 595,  0.84067, -0.51957,  0.15269
596, 596,  0.75336, -0.61434,  0.23458
597, 597,  0.75336, -0.61434,  0.23458
598, 598,  0.84067, -0.51957,  0.15269
599, 599,  0.77249, -0.62994,  0.08018
600, 600,  0.84067, -0.51957,  0.15269
601, 601,  0.85065, -0.52574,  0.00
602, 602,  0.77249, -0.62994,  0.08018
603, 603,  0.77249, -0.62994,  0.08018
604, 604,  0.85065, -0.52574,  0.00
605, 605,  0.77249, -0.62994, -0.08018
606, 606,  0.85065, -0.52574,  0.00
607, 607,  0.84067, -0.51957, -0.15269
